panel,class,n_class_panel,n_gene_set,observed,null_mean,odds_ratio_matched,odds_ratio_detection_limit,z,p_value,computable,above_detection_limit,above_bonferroni
height GWAS,cilium,267,147,0.0,4.43205,,2.3982249697098244,-2.1518368579388936,9.99950002499875e-05,True,False,False
height GWAS,ECM structure,186,147,5.0,3.73845,1.3493348244988934,2.521253498774495,0.6619758094424368,0.6394680265986701,True,False,False
height GWAS,glycosylation / linker,30,147,2.0,0.5416,3.7299037335099072,4.812942577305405,2.012599807747109,0.2033898305084746,True,False,False
height GWAS,lysosome,256,147,2.0,4.3947,0.4475776856605487,2.409520647041304,-1.1628287240371025,0.1299935003249838,True,False,False
height GWAS,signalling FGF/WNT/BMP/IHH,358,147,5.0,6.2067,0.7987353284966701,2.1960280727480144,-0.4992134789944001,0.4992750362481876,True,False,False
height GWAS,transcription factors,472,147,15.0,7.81165,2.024778114040626,2.071183916142173,2.6849630611559574,0.0203989800509974,True,False,False
height GWAS,vesicle / secretion,595,147,1.0,8.17125,0.1163692029144951,2.0595152410127784,-2.600446982552392,0.0005999700014999,True,False,False
short stature,cilium,98,147,1.0,1.7312,0.5747410933583166,3.193711808234516,-0.5596157403954596,0.3494825258737064,True,False,False
short stature,ECM structure,53,147,1.0,0.85885,1.165473343216997,4.070509034792318,0.1534539231683952,0.8408579571021448,True,False,False
short stature,glycosylation / linker,18,147,2.0,0.3135,6.453786503877248,6.017492580603551,3.0406735214778564,0.0758962051897405,True,True,False
short stature,lysosome,71,147,0.0,1.1559,,3.670288297662392,-1.07907813739683,9.99950002499875e-05,True,False,False
short stature,signalling FGF/WNT/BMP/IHH,115,147,2.0,1.39175,1.443067831990238,3.4134278525546087,0.5235856339760852,0.8204589770511475,True,False,False
short stature,transcription factors,66,147,1.0,1.05485,0.9476459355059896,3.793731220041595,-0.0535435737235048,0.6944652767361632,True,False,False
short stature,vesicle / secretion,126,147,1.0,1.65755,0.6005829283440695,3.251251796820478,-0.5116910577768478,0.3770811459427027,True,False,False
short stature (broad),cilium,99,147,1.0,1.73825,0.5723822770894204,3.189442311926213,-0.5638745709281594,0.3475826208689564,True,False,False
short stature (broad),ECM structure,54,147,1.0,0.85885,1.165473343216997,4.070509034792318,0.1534539231683952,0.8408579571021448,True,False,False
short stature (broad),glycosylation / linker,19,147,2.0,0.3135,6.453786503877248,6.017492580603551,3.0406735214778564,0.0758962051897405,True,True,False
short stature (broad),lysosome,72,147,0.0,1.1559,,3.670288297662392,-1.07907813739683,9.99950002499875e-05,True,False,False
short stature (broad),signalling FGF/WNT/BMP/IHH,124,147,2.0,1.3988,1.4357252028832597,3.4078152318606256,0.5161653429356299,0.8253587320633968,True,False,False
short stature (broad),transcription factors,81,147,2.0,1.1267,1.7857863825697873,3.705537016417024,0.8251161186810232,0.6169691515424229,True,False,False
short stature (broad),vesicle / secretion,129,147,1.0,1.65755,0.6005829283440695,3.251251796820478,-0.5116910577768478,0.3770811459427027,True,False,False
Nosology (core),cilium,23,147,1.0,0.5972,1.6791006431841748,4.69474401898148,0.5209327996608083,0.8996550172491375,True,False,False
Nosology (core),ECM structure,15,147,0.0,0.34385,,5.806705642702065,-0.5904502034608275,9.99950002499875e-05,True,False,False
Nosology (core),glycosylation / linker,8,147,,,,,,,False,False,False
Nosology (core),lysosome,13,147,0.0,0.1709,,7.853010537342284,-0.4123141439673801,9.99950002499875e-05,True,False,False
Nosology (core),signalling FGF/WNT/BMP/IHH,26,147,1.0,0.37915,2.648694177133783,5.577231273202087,1.0161307168201292,0.6360681965901704,True,False,False
Nosology (core),transcription factors,4,147,,,,,,,False,False,False
Nosology (core),vesicle / secretion,17,147,0.0,0.0928,,10.20033472433706,-0.3062977358947417,9.99950002499875e-05,True,False,False
Nosology (broad),cilium,130,147,1.0,2.0398,0.4867526631001964,3.0167913089679126,-0.7377594640573502,0.2531873406329682,True,False,False
Nosology (broad),ECM structure,69,147,1.0,0.8409,1.1904979498482546,4.104121438843546,0.1746950745205503,0.8594570271486426,True,False,False
Nosology (broad),glycosylation / linker,17,147,2.0,0.23565,8.590434381790645,6.749275858022317,3.685897536062377,0.0424978751062446,True,True,False
Nosology (broad),lysosome,45,147,0.0,0.5484,,4.858524123205959,-0.738868205604686,9.99950002499875e-05,True,False,False
Nosology (broad),signalling FGF/WNT/BMP/IHH,140,147,1.0,1.25865,0.7930945256088144,3.5247962838169147,-0.2348346848916568,0.5537723113844308,True,False,False
Nosology (broad),transcription factors,70,147,1.0,0.41655,2.410265833337444,5.405555961391921,0.9038874140442712,0.6825658717064147,True,False,False
Nosology (broad),vesicle / secretion,71,147,0.0,0.34305,,5.818244118577673,-0.5890334588434997,9.99950002499875e-05,True,False,False
PanelApp 1471,cilium,3,147,,,,,,,False,False,False
PanelApp 1471,ECM structure,1,147,,,,,,,False,False,False
PanelApp 1471,glycosylation / linker,1,147,,,,,,,False,False,False
PanelApp 1471,lysosome,1,147,,,,,,,False,False,False
PanelApp 1471,signalling FGF/WNT/BMP/IHH,5,147,,,,,,,False,False,False
PanelApp 1471,transcription factors,4,147,,,,,,,False,False,False
PanelApp 1471,vesicle / secretion,9,147,,,,,,,False,False,False
PanelApp 309,cilium,63,147,0.0,1.42,,3.410517953806478,-1.2002176400002895,9.99950002499875e-05,True,False,False
PanelApp 309,ECM structure,51,147,1.0,0.62575,1.6021787553565854,4.571610007541448,0.4780361815946969,0.9370531473426328,True,False,False
PanelApp 309,glycosylation / linker,15,147,2.0,0.23565,8.590434381790645,6.749275858022317,3.685897536062377,0.0424978751062446,True,True,False
PanelApp 309,lysosome,36,147,0.0,0.458,,5.212852410920212,-0.6754611326697028,9.99950002499875e-05,True,False,False
PanelApp 309,signalling FGF/WNT/BMP/IHH,99,147,1.0,0.9426,1.0613124874654485,3.9121640726901306,0.0600282151407748,0.7668616569171542,True,False,False
PanelApp 309,transcription factors,50,147,0.0,0.2572,,6.59421346229726,-0.5063020936406637,9.99950002499875e-05,True,False,False
PanelApp 309,vesicle / secretion,44,147,0.0,0.1025,,9.69681105557743,-0.324135486121676,9.99950002499875e-05,True,False,False
