zone,zone_rank,median,ci_low,ci_high,n,curve
MesCond,1,0.0749023407697677,0.0703171715140342,0.0867035090923309,9,PanelApp 309 minus programme
ChondroProg,2,0.1124994084239006,0.10686103068292138,0.11659395322203633,18,PanelApp 309 minus programme
RestingChon,3,0.1231026910245418,0.11983588524162762,0.13955264538526527,12,PanelApp 309 minus programme
ProlifChon,4,0.13714347779750818,0.13186040520668024,0.1395088396966457,18,PanelApp 309 minus programme
PrehyperChon,5,0.16806796938180918,0.15124313905835152,0.17839261889457703,8,PanelApp 309 minus programme
HyperChon,6,0.1324875801801681,0.1324875801801681,0.1324875801801681,1,PanelApp 309 minus programme
MesCond,1,0.0620726719498634,0.0513669177889823,0.0722427368164062,9,programme (173 genes)
ChondroProg,2,0.0456553027033805,0.0380630269646644,0.07227619178593157,18,programme (173 genes)
RestingChon,3,0.05525909736752505,0.04169313795864575,0.07462008669972413,12,programme (173 genes)
ProlifChon,4,0.06463647633790964,0.05535577703267335,0.08119823224842543,18,programme (173 genes)
PrehyperChon,5,0.12566951662302014,0.11632271669805044,0.13408921286463735,8,programme (173 genes)
HyperChon,6,0.1491731405258178,0.1491731405258178,0.1491731405258178,1,programme (173 genes)
