quantity,threshold,observed,noise_mean,noise_q05,noise_q95,p_empirical,n_genes
dWT,0.8,1297,257.918,49.95,652.3499999999997,0.001,12563
dWT,0.85,557,61.08,6.0,181.0999999999999,0.0,12563
dWT,0.9,173,7.856,0.0,32.0,0.0,12563
dWT,0.95,23,0.443,0.0,3.0,0.0,12563
dWT,1.0,23,0.443,0.0,3.0,0.0,12563
iv,0.8,304,257.301,116.0,498.0999999999999,0.265,12563
iv,0.85,73,61.576,19.950000000000003,139.0,0.281,12563
iv,0.9,7,8.008,1.0,22.0,0.449,12563
iv,0.95,1,0.476,0.0,2.0,0.293,12563
iv,1.0,1,0.476,0.0,2.0,0.293,12563
