level,unit,arm,contrast,detection_limit,z,p_value,status,passed
"18 perturbation
datasets","LAMA5-KO, chondrogenic (E-MTAB-16566)",chondrogenic,1.764664226677659,1.847803062450255,2.674449558579953,0.0050997450127493,ok,True
"18 perturbation
datasets","LAMA5-KO, osteogenic (E-MTAB-16566)",osteogenic,-0.0997098367238929,1.33143501664944,-0.2064745913203871,1.0,ok,False
"18 perturbation
datasets",FN1 C123R (GSE251698),chondrogenic,0.2754824250372226,1.0932693069356847,0.7110591257456714,0.4802759862006899,ok,False
"18 perturbation
datasets",FN1 C231W (GSE251698),chondrogenic,0.1730395424016236,1.1726351903972492,0.4201054207211432,0.680265986700665,ok,False
"18 perturbation
datasets","SERPINA3-KD, chondrogenic (GSE247491)",chondrogenic,,,,,too few genes,False
"18 perturbation
datasets",MIR181A1HG-KD (GSE184087),osteogenic,-0.2136244875825531,0.8386345263050851,-0.6948337415253439,1.0,ok,False
"18 perturbation
datasets",LINC01638-KD (GSE227512),osteogenic,-0.1201243433782646,1.0797669320165333,-0.3189921901136188,1.0,ok,False
"18 perturbation
datasets",ARSB / MPS VI (GSE218101),chondrogenic,0.342088836595263,1.1604840883277012,0.8263015012108242,0.4100794960251987,ok,False
"18 perturbation
datasets",ACVR1 / FOP (GSE221128),chondrogenic,0.6064551173384733,0.8951115277879652,1.9012222217326216,0.0573971301434928,ok,False
"18 perturbation
datasets",RNF4-KD (GSE205432),osteogenic,-0.1743691629135123,0.5877469758993664,-0.8324970528892498,1.0,ok,False
"18 perturbation
datasets",RB1 +/- (GSE245585),osteogenic,-0.4313540563963038,1.187039645500665,-1.0295292584886364,1.0,ok,False
"18 perturbation
datasets",Nonunion (GSE226565),osteogenic,-0.1032782764611061,0.5098629355596748,-0.5743634065761964,1.0,ok,False
"18 perturbation
datasets","SERPINA3-KD, osteogenic (GSE247528)",osteogenic,-0.4582228283979702,1.6490048682431664,-0.7738569627300452,1.0,ok,False
"18 perturbation
datasets",ERCC6L2-KD (GSE190542),osteogenic,0.7155908606586632,0.9413666486156008,2.129879164564556,0.0339983000849957,ok,True
"18 perturbation
datasets",TP53 LFS (GSE102732),osteogenic,-0.0842334860248829,0.7417930619899185,-0.3309129858872808,1.0,ok,False
"18 perturbation
datasets",YAP/TAZ-KD (GSE137035),osteogenic,0.0560804295184633,0.6305298519068546,0.2552859191395392,0.7943602819859007,ok,False
"18 perturbation
datasets",RB1-mut isogenic (GSE145235),osteogenic,0.6278419224287781,0.912303608161896,1.926869163048835,0.0538973051347432,ok,False
"18 perturbation
datasets",RB1-del isogenic (GSE145235),osteogenic,0.4675699098515999,0.9383429323687325,1.3940276069622757,0.1635918204089795,ok,False
14 donor cells,"ARSB line 1, chondrogenic (GSE218101)",chondrogenic,-0.5394267391347175,1.1887240239769028,-1.2694519160031932,1.0,ok,False
14 donor cells,"ARSB line 2, chondrogenic (GSE218101)",chondrogenic,0.4843112640207446,1.313084918613449,1.0321049823624535,0.3018849057547123,ok,False
14 donor cells,"ARSB line 3, chondrogenic (GSE218101)",chondrogenic,0.1599604496340678,1.2157477898209186,0.3658964684276042,0.72056397180141,ok,False
14 donor cells,"ARSB line 4, chondrogenic (GSE218101)",chondrogenic,1.2635103718609575,1.51585719929441,2.3348223545541256,0.015599220038998,ok,True
14 donor cells,"ACVR1 / FOP, chondrogenic (GSE221128)",chondrogenic,0.6064551173384731,0.8951345479668236,1.9011807682319968,0.0573971301434928,ok,False
14 donor cells,"RB1 +/- WT1, osteogenic (GSE245585)",osteogenic,-0.4083492669340293,1.1081354062680242,-1.0305082317898038,1.0,ok,False
14 donor cells,"SERPINA3 donor 1, chondrogenic (GSE247491)",chondrogenic,1.4122707652273825,1.1081566940089458,3.567998958607288,0.0002999850007499,ok,True
14 donor cells,"SERPINA3 donor 2, chondrogenic (GSE247491)",chondrogenic,2.2343480715112216,1.114843299026692,5.604767619476212,9.99950002499875e-05,ok,True
14 donor cells,"SERPINA3 donor 3, chondrogenic (GSE247491)",chondrogenic,1.7112416276831726,1.1435019154275052,4.192347704824472,9.99950002499875e-05,ok,True
14 donor cells,"SERPINA3 donor 1, osteogenic (GSE247528)",osteogenic,0.786565267170277,1.0420626605659116,2.1161970951957256,0.0348982550872456,ok,True
14 donor cells,"SERPINA3 donor 2, osteogenic (GSE247528)",osteogenic,0.6833839755092258,0.9519207538559944,2.008883930092255,0.0401979901004949,ok,True
14 donor cells,"SERPINA3 donor 3, osteogenic (GSE247528)",osteogenic,-0.1246993337366373,0.9231922275196603,-0.3728744674758517,1.0,ok,False
14 donor cells,"LAMA5-KO USC, chondrogenic (E-MTAB-16566)",chondrogenic,1.764664226677658,1.8478104145848395,2.6744385158281774,0.0050997450127493,ok,True
