dataset_id,dataset,arm,marker_set,n_preregistered,verdict_preregistered,contrast_preregistered,z_preregistered,p_preregistered,n_in_vitro_reachable,verdict_in_vitro_reachable,contrast_in_vitro_reachable,z_in_vitro_reachable,p_in_vitro_reachable
1,"LAMA5-KO, chondrogenic (E-MTAB-16566)",chondrogenic,Chondrogenic,6,passed,1.764664226677659,2.674449558579953,0.0050997450127493,6,passed,1.7308984985131783,2.601945936765569,0.007599620018999
2,"LAMA5-KO, osteogenic (E-MTAB-16566)",osteogenic,Osteogenic,12,failed,-0.0997098367238929,-0.2064745913203871,1.0,10,failed,-0.3484449144956008,-0.6806146409666433,1.0
3,FN1 C123R (GSE251698),chondrogenic,Chondrogenic,12,failed,0.2754824250372226,0.7110591257456714,0.4802759862006899,12,failed,0.2834293454975242,0.7145457369274074,0.4779761011949403
4,FN1 C231W (GSE251698),chondrogenic,Chondrogenic,12,failed,0.1730395424016236,0.4201054207211432,0.680265986700665,12,failed,0.1754932637818512,0.4102546674953859,0.6792660366981651
5,"SERPINA3-KD, chondrogenic (GSE247491)",chondrogenic,Chondrogenic,1,not calibratable,,,,1,not calibratable,,,
6,MIR181A1HG-KD (GSE184087),osteogenic,Osteogenic,16,failed,-0.2136244875825531,-0.6948337415253439,1.0,13,failed,-0.4548705005607715,-1.3854855185099213,1.0
7,LINC01638-KD (GSE227512),osteogenic,Osteogenic,11,failed,-0.1201243433782646,-0.3189921901136188,1.0,10,failed,-0.3685364154764453,-0.9029896511551057,1.0
8,ARSB / MPS VI (GSE218101),chondrogenic,Chondrogenic,12,failed,0.342088836595263,0.8263015012108242,0.4100794960251987,12,failed,0.3749647319048724,0.8959652946103036,0.3712814359282035
9,ACVR1 / FOP (GSE221128),chondrogenic,Chondrogenic,12,failed,0.6064551173384733,1.9012222217326216,0.0573971301434928,12,failed,0.5904214926208916,1.8512217380649545,0.0664966751662416
10,RNF4-KD (GSE205432),osteogenic,Osteogenic,17,failed,-0.1743691629135123,-0.8324970528892499,1.0,13,failed,-0.1643108257320762,-0.7101810547007901,1.0
11,RB1 +/- (GSE245585),osteogenic,Osteogenic,11,failed,-0.4313540563963038,-1.0295292584886364,1.0,9,failed,-0.5461732462321452,-1.203503979887768,1.0
12,Nonunion (GSE226565),osteogenic,Osteogenic,17,failed,-0.1032782764611061,-0.5743634065761967,1.0,13,failed,-0.0725370646758615,-0.3529253153874046,1.0
13,"SERPINA3-KD, osteogenic (GSE247528)",osteogenic,Osteogenic,4,failed,-0.4582228283979702,-0.7738569627300452,1.0,4,failed,-0.4582228283979702,-0.7738569627300452,1.0
14,ERCC6L2-KD (GSE190542),osteogenic,Osteogenic,14,passed,0.7155908606586632,2.129879164564556,0.0339983000849957,12,failed,0.584288438512048,1.632977954191085,0.1022948852557372
15,TP53 LFS (GSE102732),osteogenic,Osteogenic,18,failed,-0.0842334860248828,-0.3309129858872806,1.0,13,failed,0.1991928490995376,0.6664999491405226,0.5099745012749363
16,YAP/TAZ-KD (GSE137035),osteogenic,Osteogenic,11,failed,0.0560804295184633,0.2552859191395392,0.7943602819859007,9,failed,0.1832694288585249,0.7459613830192605,0.4545772711364432
17,RB1-mut isogenic (GSE145235),osteogenic,Osteogenic,16,failed,0.627841922428778,1.9268691630488348,0.0538973051347432,11,passed,0.9506383117166196,2.529137032047978,0.0105994700264986
18,RB1-del isogenic (GSE145235),osteogenic,Osteogenic,16,failed,0.4675699098515998,1.3940276069622757,0.1635918204089795,13,failed,0.503411541003298,1.3869482959647426,0.1697915104244787
