level,dataset,window,axis,null_model,calibrated,threshold_reached,k,wilson_ci_low,wilson_ci_high,verdict,n,concordance,concordance_null,concordance_null_sd,concordance_z,concordance_p,concordance_detection_limit,rank,rank_null,rank_null_sd,rank_z,rank_p
ATAC,GSE332758,P,osteogenic,background,False,True,118,0.609377502593181,0.7468735152668701,level not calibrated for this axis,172,0.686046511627907,0.538161046511628,0.0375689964222493,3.936369858117827,9.99950002499875e-05,0.6433542364939263,0.1373838562890039,1.787038867976939e-05,0.0220651543194943,6.225471343246523,9.99950002499875e-05
ATAC,GSE332758,P,osteogenic,H1 baseline-stratified,False,True,118,0.609377502593181,0.7468735152668701,level not calibrated for this axis,172,0.686046511627907,0.5302191860465116,0.0375547198160757,4.149340651309871,9.99950002499875e-05,0.6353724015315236,0.1373838562890039,-0.004315211633439,0.0224012785937406,6.325490187066217,9.99950002499875e-05
ATAC,GSE332758,P,adipogenic,background,True,False,117,0.6034032833249139,0.7415381784125961,below threshold,172,0.6802325581395349,0.5939334302325581,0.0350574453585982,2.4616490740906447,0.0177991100444977,0.6920942772366332,0.1091518322387827,6.584126426183489e-05,0.0218434154556872,4.993998818354163,9.99950002499875e-05
ATAC,GSE332758,P,adipogenic,H1 baseline-stratified,True,True,117,0.6034032833249139,0.7415381784125961,threshold reached,172,0.6802325581395349,0.5732366279069767,0.0360644052636818,2.966801461171102,0.0018999050047497,0.674216962645286,0.1091518322387827,-0.0149374180485441,0.0219793633358167,5.645716319958898,9.99950002499875e-05
ATAC,GSE332758,P,lineage contrast,background,False,False,75,0.3619156687405052,0.5080244358502699,level not calibrated for this axis,172,0.436046511627907,0.4062700581395349,0.0352282460175233,0.8452437136257263,0.4427778611069446,0.5049091469886001,0.0177151471340162,7.33846480479104e-05,0.0219802842394558,0.8026175773605491,0.4274786260686966
ATAC,GSE332758,P,lineage contrast,H1 baseline-stratified,False,False,75,0.3619156687405052,0.5080244358502699,level not calibrated for this axis,172,0.436046511627907,0.4232465116279069,0.035477466033128,0.360792396730017,0.7731613419329033,0.5225834165206654,0.0177151471340162,0.015289689577199,0.0210550668629136,0.115195908548235,0.9083545822708864
ATAC,GSE332758,T10,osteogenic,background,False,True,113,0.5796219469698011,0.7200812902775434,level not calibrated for this axis,173,0.653179190751445,0.5215875722543353,0.037622468680519,3.497686970372784,0.0008999550022498,0.6269304845597887,0.1420064981487427,-0.0003044851689498,0.0218066319545018,6.52604141779508,9.99950002499875e-05
ATAC,GSE332758,T10,osteogenic,H1 baseline-stratified,False,True,113,0.5796219469698011,0.7200812902775434,level not calibrated for this axis,173,0.653179190751445,0.5203078034682082,0.037998179465551,3.4967829815030367,0.0004999750012499,0.6267027059717509,0.1420064981487427,-0.0008169855272716,0.022421977922978,6.369798604147628,9.99950002499875e-05
ATAC,GSE332758,T10,adipogenic,background,True,False,111,0.5677986299140293,0.7092854950882325,below threshold,173,0.6416184971098265,0.5651595375722543,0.0365039694846664,2.0945382274026105,0.0410979451027448,0.6673706521293203,0.0952416594978166,-0.0001852886582953,0.0219399060533807,4.349469315134441,9.99950002499875e-05
ATAC,GSE332758,T10,adipogenic,H1 baseline-stratified,True,False,111,0.5677986299140293,0.7092854950882325,below threshold,173,0.6416184971098265,0.5533052023121386,0.0370469992932632,2.38381775804841,0.0221988900554972,0.6570368003332758,0.0952416594978166,-0.0095381245043214,0.0216046267872775,4.849877067251184,9.99950002499875e-05
ATAC,GSE332758,T10,lineage contrast,background,False,False,88,0.4347987143549146,0.5821656198288974,level not calibrated for this axis,173,0.5086705202312138,0.4535390173410404,0.0373813585491739,1.4748394662449122,0.1633918304084795,0.5582068212787274,0.0578690519657899,-6.99187716929499e-05,0.0219256214138676,2.6425235410129444,0.0065996700164991
ATAC,GSE332758,T10,lineage contrast,H1 baseline-stratified,False,False,88,0.4347987143549146,0.5821656198288974,level not calibrated for this axis,173,0.5086705202312138,0.4668251445086704,0.036317916426315,1.1521964870270855,0.2894855257237138,0.5685153105023524,0.0578690519657899,0.0120505782373691,0.0200236062156226,2.288222872295229,0.0214989250537473
ATAC,GSE332758,T50,osteogenic,background,False,True,116,0.5974407690728198,0.7361911365421485,level not calibrated for this axis,173,0.6705202312138728,0.5271598265895954,0.0378541371268962,3.7871793020588154,0.0003999800009999,0.6331514105449048,0.1292617199103531,-9.599249225299444e-05,0.0219659382288369,5.889013756434273,9.99950002499875e-05
ATAC,GSE332758,T50,osteogenic,H1 baseline-stratified,False,True,116,0.5974407690728198,0.7361911365421485,level not calibrated for this axis,173,0.6705202312138728,0.5200407514450867,0.0378127491779003,3.97959638059678,0.0002999850007499,0.6259164491432077,0.1292617199103531,-0.0039677516736537,0.0221227221966127,6.02229103633575,9.99950002499875e-05
ATAC,GSE332758,T50,adipogenic,background,True,True,121,0.6273720772846249,0.7628076089430501,threshold reached,173,0.6994219653179191,0.5406144508670521,0.0373318649872896,4.253940018933853,9.99950002499875e-05,0.6451436728314631,0.1073819027302373,-0.000469002991289,0.0220201618891069,4.897825286873965,9.99950002499875e-05
ATAC,GSE332758,T50,adipogenic,H1 baseline-stratified,True,True,121,0.6273720772846249,0.7628076089430501,threshold reached,173,0.6994219653179191,0.5397098265895954,0.0371473586835395,4.299421126786445,9.99950002499875e-05,0.6437224309035061,0.1073819027302373,-0.0032621912145546,0.0210420899936405,5.2582273898757865,9.99950002499875e-05
ATAC,GSE332758,T50,lineage contrast,background,False,False,96,0.4804621796042874,0.6269786035598548,level not calibrated for this axis,173,0.5549132947976878,0.4920771676300577,0.0380432832732558,1.6517009511585286,0.1152942352882355,0.5985983607951741,0.0379382928909361,0.0001032764639808,0.0219434935120514,1.7242020467787418,0.0842957852107394
ATAC,GSE332758,T50,lineage contrast,H1 baseline-stratified,False,False,96,0.4804621796042874,0.6269786035598548,level not calibrated for this axis,173,0.5549132947976878,0.4891445086705203,0.0361032829917005,1.8216843643356888,0.0813959302034898,0.5902337010472819,0.0379382928909361,-0.0004883031975071,0.0199837122433249,1.9228957873569543,0.0532973351332433
ATAC,GSE332758,GB,osteogenic,background,False,True,118,0.609377502593181,0.7468735152668701,level not calibrated for this axis,173,0.6820809248554913,0.5198404624277456,0.0376229753008393,4.312270923031606,9.99950002499875e-05,0.6251847932700958,0.1217920967476633,0.0002192191145923,0.0218256705272645,5.570178358607715,9.99950002499875e-05
ATAC,GSE332758,GB,osteogenic,H1 baseline-stratified,False,True,118,0.609377502593181,0.7468735152668701,level not calibrated for this axis,173,0.6820809248554913,0.5117268786127168,0.0377755322960956,4.509639861789105,9.99950002499875e-05,0.6174983690417846,0.1217920967476633,-0.0039741420093364,0.0222633064480224,5.649036860298486,9.99950002499875e-05
ATAC,GSE332758,GB,adipogenic,background,True,True,120,0.6213617213369079,0.7575084087682257,threshold reached,173,0.6936416184971098,0.5342855491329479,0.0376471529901244,4.232885004769521,9.99950002499875e-05,0.6396975775052964,0.0948106145963801,3.130695114800477e-05,0.0220871390131669,4.291153670411126,0.0001999900004999
