study,cell,donor,axis,criterion_e2,lesion,origin,passed,undifferentiated_module_z,undifferentiated_module_raw,dwt_module_value,dwt_amplitude,n_module_genes,undifferentiated_own_markers,undifferentiated_other_markers,undifferentiated_axis_difference
GSE218101,"ARSB line 1, chondrogenic (GSE218101)",GSE218101_Line1,chondrogenic,True,"ARSB patient mutation, isogenically corrected",one of the eighteen datasets,False,-0.4338404428640413,3.412434562631553,0.5755173601529583,1.264098149369943,169,0.5039815933322106,-0.2794446028949471,0.7834261962271578
GSE218101,"ARSB line 2, chondrogenic (GSE218101)",GSE218101_Line2,chondrogenic,True,"ARSB patient mutation, isogenically corrected",one of the eighteen datasets,False,-0.4617902816095663,3.3127140624898974,0.7677211876402819,1.5287085312463908,169,0.121677752260002,0.4574350730117297,-0.3357573207517276
GSE218101,"ARSB line 3, chondrogenic (GSE218101)",GSE218101_Line3,chondrogenic,True,"ARSB patient mutation, isogenically corrected",one of the eighteen datasets,False,-0.719105096717111,2.873624390811607,0.8285164499093043,1.497367842067185,169,-0.5794368215597284,-0.725753168485785,0.1463163469260565
GSE218101,"ARSB line 4, chondrogenic (GSE218101)",GSE218101_Line4,chondrogenic,True,"ARSB patient mutation, isogenically corrected",one of the eighteen datasets,True,-0.6986603207185277,2.9740065563002367,1.0062579541208228,1.6743253578624389,169,-0.8689298803878128,-0.8326065873594337,-0.0363232930283791
GSE221128,"ACVR1 / FOP, chondrogenic (GSE221128)",GSE221128_FOP,chondrogenic,True,"ACVR1 R206H, isogenically corrected (resFOP)",one of the eighteen datasets,False,-0.3894781115736864,3.095939058134687,0.8621963096230243,1.008260056220114,169,-0.7177968195129618,-0.1458054248126896,-0.5719913947002722
GSE245585,"RB1 +/- WT1, osteogenic (GSE245585)",GSE245585_WT1,osteogenic,True,RB1 +/- (retinoblastoma patient line),one of the eighteen datasets,False,-0.7546052305445089,4.1030617624673775,1.2078633897943087,1.367893211387837,166,0.0453944015145571,-0.1568888308295401,0.2022832323440972
GSE247491,"SERPINA3 donor 1, chondrogenic (GSE247491)",SERPINA3_D1,chondrogenic,False,"SERPINA3-siRNA (engineered, not a patient defect)","Figure S3C, study-wise",True,-0.3354853086581859,2.929429958164669,0.476314481110952,1.23077593183082,173,-0.8427027416860592,-0.7080163175507486,-0.1346864241353106
GSE247491,"SERPINA3 donor 2, chondrogenic (GSE247491)",SERPINA3_D2,chondrogenic,False,"SERPINA3-siRNA (engineered, not a patient defect)","Figure S3C, study-wise",True,-0.6582990578327801,2.813504664772562,0.8316271125164031,1.2813011951341218,173,-0.9419949002082056,-0.2453160455744961,-0.6966788546337094
GSE247491,"SERPINA3 donor 3, chondrogenic (GSE247491)",SERPINA3_D3,chondrogenic,False,"SERPINA3-siRNA (engineered, not a patient defect)","Figure S3C, study-wise",True,-0.4164758475117622,2.9162552210975075,0.4989123425757373,1.2288448291557303,173,-0.6852042712876072,-0.3802768912032656,-0.3049273800843416
GSE247528,"SERPINA3 donor 1, osteogenic (GSE247528)",SERPINA3_D1,osteogenic,False,"SERPINA3-siRNA (engineered, not a patient defect)","Figure S3C, study-wise",True,-0.5736413616938804,2.9193857572473347,0.9452924694138868,1.4436332708364177,173,-0.1093095465022426,0.961062399995708,-1.0703719464979504
GSE247528,"SERPINA3 donor 2, osteogenic (GSE247528)",SERPINA3_D2,osteogenic,False,"SERPINA3-siRNA (engineered, not a patient defect)","Figure S3C, study-wise",True,-0.4689396806099984,2.759132831860051,0.5954294711844909,1.0753930316809992,173,-0.3798368646783592,0.0757536214383518,-0.4555904861167111
GSE247528,"SERPINA3 donor 3, osteogenic (GSE247528)",SERPINA3_D3,osteogenic,False,"SERPINA3-siRNA (engineered, not a patient defect)","Figure S3C, study-wise",False,-0.2750204277535306,2.945057263653773,0.4199899839752783,1.3142878653400676,173,0.261791025988933,0.2176734896176524,0.0441175363712806
LAMA5_USC,"LAMA5-KO USC, chondrogenic (E-MTAB-16566)",LAMA5_USC,chondrogenic,False,LAMA5 knockout in a healthy line (engineered),two of the eighteen datasets,True,-0.8537566961887608,-0.4380185400020651,1.2519869955410166,1.3070129100756362,163,-1.0236944003246455,-0.3876145011833595,-0.6360798991412859
LAMA5_USC,"LAMA5-KO USC, osteogenic (E-MTAB-16566)",LAMA5_USC,osteogenic,False,LAMA5 knockout in a healthy line (engineered),two of the eighteen datasets,False,-0.8537566961887608,-0.4380185400020651,1.257553668740325,1.3101387448961048,163,-0.3876145011833595,-1.0236944003246455,0.6360798991412859
