cohort,window,n_group_a,n_group_b,contrast,null_mean,null_sd,z,p_value,detection_limit,passed,cohort_label,assay
GSE332758,P,18,18,0.1380547074638418,-9.781122221148548e-05,0.0610775282525416,2.2619205891047884,0.023298835058247,0.1709192678849051,False,ATAC (GSE332758),ATAC
GSE332758,T10,18,18,0.0798548700960058,0.0001307331496422,0.0443669015822853,1.7969282078105606,0.0722963851807409,0.1243580575800412,False,ATAC (GSE332758),ATAC
GSE332758,T50,18,18,0.0457972033371427,0.0002049575358393,0.0408738879846891,1.115436970869562,0.2651867406629668,0.1146518438929688,False,ATAC (GSE332758),ATAC
GSE332758,GB,18,18,0.0580538795649609,-0.0004463785203545,0.0628102255121573,0.9313811184134716,0.3474826258687065,0.1754222529136861,False,ATAC (GSE332758),ATAC
GSE151311,P,18,18,0.0858679019156834,-0.0016681281089173,0.2440380348494609,0.3586983073298346,0.6610669466526674,0.6816383694695731,False,ATAC (GSE151311),ATAC
GSE151311,T10,18,18,-0.0117820800742785,0.0002458507900077,0.1454108190235213,-0.0827168909786596,1.0,0.4073961440558673,False,ATAC (GSE151311),ATAC
GSE151311,T50,18,18,0.044582082139785,-0.0002273603250402,0.090721600673554,0.4939225292779431,0.5403729813509325,0.2537931215609111,False,ATAC (GSE151311),ATAC
GSE151311,GB,18,18,-0.0101841688705987,0.0010188887827291,0.166797662485534,-0.0671655554783297,1.0,0.4680523437422242,False,ATAC (GSE151311),ATAC
GSE151315,P,18,18,-0.1857636975060529,0.0004430626716731,0.1789962147879593,-1.0402832283258527,1.0,0.5016324640779594,False,H3K27ac (GSE151315),H3K27ac
GSE151315,T10,18,18,-0.1838419227174825,-3.507377458040075e-05,0.1424882971180915,-1.2899785642786268,1.0,0.398932158156076,False,H3K27ac (GSE151315),H3K27ac
GSE151315,T50,18,18,-0.2708218235393833,-0.0003337600987422,0.1184536177532396,-2.28349347678107,1.0,0.3313363696103287,False,H3K27ac (GSE151315),H3K27ac
GSE151315,GB,18,18,-0.2473692153385221,-0.0003558809032367,0.166465106446562,-1.4838745470936314,1.0,0.465746417147137,False,H3K27ac (GSE151315),H3K27ac
