cohort,window,axis,gene_set,n,mean,z,cohort_label
GSE332758,P,lineage contrast,Osteogenic,18,-0.11577971773271598,-0.4984701415938696,ATAC (GSE332758)
GSE332758,P,lineage contrast,Adipogenic,18,-0.25383442519655786,-3.62525117683856,ATAC (GSE332758)
GSE332758,P,lineage contrast,Undifferentiated,10,-0.14418925149519873,-0.8419159858044746,ATAC (GSE332758)
GSE332758,T10,lineage contrast,Osteogenic,18,-0.020123210806300553,0.8674679784554005,ATAC (GSE332758)
GSE332758,T10,lineage contrast,Adipogenic,18,-0.0999780809023064,-1.6917266302406424,ATAC (GSE332758)
GSE332758,T10,lineage contrast,Undifferentiated,10,-0.02228960030109547,0.6108095111292906,ATAC (GSE332758)
GSE332758,T50,lineage contrast,Osteogenic,18,0.032296151487269845,1.6551657698253006,ATAC (GSE332758)
GSE332758,T50,lineage contrast,Adipogenic,18,-0.013501051849872908,0.012223906273476838,ATAC (GSE332758)
GSE332758,T50,lineage contrast,Undifferentiated,10,0.002621305673308855,0.44630438348430596,ATAC (GSE332758)
GSE332758,GB,lineage contrast,Osteogenic,18,0.042146012411157015,1.0107151682024313,ATAC (GSE332758)
GSE332758,GB,lineage contrast,Adipogenic,18,-0.015907867153803972,-0.3271136782177223,ATAC (GSE332758)
GSE332758,GB,lineage contrast,Undifferentiated,10,0.0089274402062682,0.20653080086744285,ATAC (GSE332758)
GSE151311,P,lineage contrast,Osteogenic,18,-0.2725237154915009,-1.7982890068053898,ATAC (GSE151311)
GSE151311,P,lineage contrast,Adipogenic,18,-0.3583916174071843,-2.3525045388413512,ATAC (GSE151311)
GSE151311,P,lineage contrast,Undifferentiated,10,-0.143442995214282,-0.8478665027671753,ATAC (GSE151311)
GSE151311,T10,lineage contrast,Osteogenic,18,-0.2341965453980195,-2.286880815050399,ATAC (GSE151311)
GSE151311,T10,lineage contrast,Adipogenic,18,-0.222414465323741,-2.340732764088598,ATAC (GSE151311)
GSE151311,T10,lineage contrast,Undifferentiated,10,-0.1552682017965471,-1.144202246919544,ATAC (GSE151311)
GSE151311,T50,lineage contrast,Osteogenic,18,-0.1360516843918155,-1.387077499273885,ATAC (GSE151311)
GSE151311,T50,lineage contrast,Adipogenic,18,-0.1806337665316006,-2.267632651122323,ATAC (GSE151311)
GSE151311,T50,lineage contrast,Undifferentiated,10,-0.125798841984629,-0.9350695335572088,ATAC (GSE151311)
GSE151311,GB,lineage contrast,Osteogenic,18,-0.1315910697492887,-1.3938301240092963,ATAC (GSE151311)
GSE151311,GB,lineage contrast,Adipogenic,18,-0.1214069008786899,-1.3776331319022082,ATAC (GSE151311)
GSE151311,GB,lineage contrast,Undifferentiated,10,0.0392048694048554,0.0182274610926242,ATAC (GSE151311)
GSE151315,P,lineage contrast,Osteogenic,18,-0.2408567095985743,-0.8348788559596846,H3K27ac (GSE151315)
GSE151315,P,lineage contrast,Adipogenic,18,-0.0550930120925214,0.6599293940005587,H3K27ac (GSE151315)
GSE151315,P,lineage contrast,Undifferentiated,10,-0.0446212937724508,0.5499876915042675,H3K27ac (GSE151315)
GSE151315,T10,lineage contrast,Osteogenic,18,-0.1605564590060015,-0.6892535742640534,H3K27ac (GSE151315)
GSE151315,T10,lineage contrast,Adipogenic,18,0.023285463711481,1.1825226378582343,H3K27ac (GSE151315)
GSE151315,T10,lineage contrast,Undifferentiated,10,-0.0681912505377936,0.2078438933968049,H3K27ac (GSE151315)
GSE151315,T50,lineage contrast,Osteogenic,18,-0.1349443270689276,-0.9867100768580076,H3K27ac (GSE151315)
GSE151315,T50,lineage contrast,Adipogenic,18,0.1358774964704556,2.292733534823955,H3K27ac (GSE151315)
GSE151315,T50,lineage contrast,Undifferentiated,10,-0.0437725397195469,0.0969613387804281,H3K27ac (GSE151315)
GSE151315,GB,lineage contrast,Osteogenic,18,-0.1125074095282991,-0.5619903826865418,H3K27ac (GSE151315)
GSE151315,GB,lineage contrast,Adipogenic,18,0.134861805810223,1.5292469651797582,H3K27ac (GSE151315)
GSE151315,GB,lineage contrast,Undifferentiated,10,-0.0490491110229955,-0.0084806550932156,H3K27ac (GSE151315)
