cohort,window,axis,gene_set,n,mean,z
GSE151315,P,osteogenic,Osteogenic,18,-0.2368129089431357,-1.299132870495262
GSE151315,P,osteogenic,Adipogenic,18,0.0752043116072054,1.69880415706555
GSE151315,P,osteogenic,Undifferentiated,10,-0.4478177123316887,-2.41649478563087
GSE151315,P,adipogenic,Osteogenic,18,0.0040438006554385,-0.2714392757406362
GSE151315,P,adipogenic,Adipogenic,18,0.1302973236997269,0.7801353029629094
GSE151315,P,adipogenic,Undifferentiated,10,-0.4031964185592379,-2.771077152016463
GSE151315,T10,osteogenic,Osteogenic,18,-0.168423266381832,-1.2418867765336232
GSE151315,T10,osteogenic,Adipogenic,18,0.0889450059450022,2.1481417807505188
GSE151315,T10,osteogenic,Undifferentiated,10,-0.3697976993044923,-2.799256368694224
GSE151315,T10,adipogenic,Osteogenic,18,-0.0078668073758305,-0.2689823898133472
GSE151315,T10,adipogenic,Adipogenic,18,0.0656595422335212,0.4935179766317121
GSE151315,T10,adipogenic,Undifferentiated,10,-0.3016064487666987,-2.530490438950951
GSE151315,T50,osteogenic,Osteogenic,18,-0.1309724218105531,-1.1829541401293855
GSE151315,T50,osteogenic,Adipogenic,18,0.0971241056621034,2.514926528740265
GSE151315,T50,osteogenic,Undifferentiated,10,-0.21875388556726,-2.008140602257724
GSE151315,T50,adipogenic,Osteogenic,18,0.0039719052583743,0.1310716041203569
GSE151315,T50,adipogenic,Adipogenic,18,-0.0387533908083521,-0.5042751236738738
GSE151315,T50,adipogenic,Undifferentiated,10,-0.174981345847713,-1.7985284036535183
GSE151315,GB,osteogenic,Osteogenic,18,-0.1575253950673972,-1.1588561536289947
GSE151315,GB,osteogenic,Adipogenic,18,0.1391916156108002,2.3377426882264656
GSE151315,GB,osteogenic,Undifferentiated,10,-0.2234544297119338,-1.456624907577933
GSE151315,GB,adipogenic,Osteogenic,18,-0.045017985539098,-0.316112955545242
GSE151315,GB,adipogenic,Adipogenic,18,0.0043298098005772,0.1581026527094951
GSE151315,GB,adipogenic,Undifferentiated,10,-0.1744053186889383,-1.108409420779098
