gene_map,dataset_id,dataset,arm,n_genes_measurable,calibration_z_filed,calibration_passed_filed,calibration_status_filed,own_marker_set,other_marker_set,undifferentiated_contrast,undifferentiated_z,undifferentiated_detection_limit,undifferentiated_status,own_axis_contrast,own_axis_z,own_axis_status,other_axis_contrast,other_axis_z,other_axis_status,module_concordance,module_z,module_detection_limit,module_n,step_i_leaves_undifferentiated,step_ii_lineage_reached,step_iii_module_above_limit,verdict
full,1,"LAMA5-KO, chondrogenic (E-MTAB-16566)",chondrogenic,22897,2.674449558579953,True,ok,Chondrogenic,Adipogenic,-1.366620117008332,-2.518237642622107,1.5077977042056894,ok,1.764664226677659,2.674449558579953,ok,-0.564364173872483,-1.1042255960480485,ok,0.9386503067484664,11.004848100488973,0.6155134728762695,163.0,True,True,True,"decoupling, the other case (lineage reached)"
full,2,"LAMA5-KO, osteogenic (E-MTAB-16566)",osteogenic,22897,-0.2064745913203871,False,ok,Osteogenic,Adipogenic,-1.2658980091364325,-2.5004920937305117,1.412312462785543,ok,-0.0997098367238929,-0.2064745913203871,ok,0.6247003855803235,1.3153286852080723,ok,0.950920245398773,11.400013440877425,0.6101659797683696,163.0,True,False,True,decomposition confirmed
full,3,FN1 C123R (GSE251698),chondrogenic,27598,0.7110591257456714,False,ok,Chondrogenic,Adipogenic,0.1156684806539413,0.2818963460303331,1.170629098232908,ok,0.2754824250372226,0.7110591257456714,ok,-0.6318645575014878,-1.7529068530301757,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,not decomposable
full,4,FN1 C231W (GSE251698),chondrogenic,27598,0.4201054207211432,False,ok,Chondrogenic,Adipogenic,0.1968202596414714,0.4443685780031741,1.254041545614316,ok,0.1730395424016236,0.4201054207211432,ok,-0.777456806001323,-2.0122723447626862,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,not decomposable
full,5,"SERPINA3-KD, chondrogenic (GSE247491)",chondrogenic,3554,,False,too few genes,Chondrogenic,Adipogenic,,,,too few genes,,,too few genes,-0.2467149689375389,-0.3426332583269901,ok,1.0,5.252155437733982,0.7752563263266081,29.0,False,False,True,not decomposable
full,6,MIR181A1HG-KD (GSE184087),osteogenic,35536,-0.6948337415253439,False,ok,Osteogenic,Adipogenic,-1.316458534798555,-3.66721780017829,0.9983843959765802,ok,-0.2136244875825531,-0.6948337415253439,ok,0.9191174257473588,3.1831597802036757,ok,0.9705882352941176,12.158090992881238,0.6159871286775684,170.0,True,False,True,decomposition confirmed
full,7,LINC01638-KD (GSE227512),osteogenic,12031,-0.3189921901136188,False,ok,Osteogenic,Adipogenic,-1.3017929590219417,-3.172568979043915,1.151706862347226,ok,-0.1201243433782646,-0.3189921901136188,ok,1.257784336762201,2.9238418239318187,ok,0.9777777777777776,11.351203054026596,0.6121169222346029,135.0,True,False,True,decomposition confirmed
full,8,ARSB / MPS VI (GSE218101),chondrogenic,22424,0.8263015012108242,False,ok,Chondrogenic,Adipogenic,0.0417744858242224,0.0962678956632851,1.250075250141748,ok,0.342088836595263,0.8263015012108242,ok,-0.1419176535210151,-0.4016510310921204,ok,0.8047337278106509,8.084964153597172,0.6019155869486902,169.0,False,False,True,not decomposable
full,9,ACVR1 / FOP (GSE221128),chondrogenic,25275,1.9012222217326216,False,ok,Chondrogenic,Adipogenic,-0.8611686083749296,-2.4997054795400837,0.9583691471170844,ok,0.6064551173384733,1.9012222217326216,ok,-0.1188887337392423,-0.3974774171951686,ok,0.9161676646706588,10.239901742897224,0.6272781764791493,167.0,True,False,True,decomposition confirmed
full,10,RNF4-KD (GSE205432),osteogenic,33151,-0.8324970528892498,False,ok,Osteogenic,Adipogenic,0.1712491859966979,0.6673120192132309,0.723596386800297,ok,-0.1743691629135123,-0.8324970528892498,ok,0.2744242178083798,1.3255035001986455,ok,0.9248554913294798,11.30119727741911,0.5992854481462122,173.0,False,False,True,not decomposable
