gene_symbol,ensembl,direction_ri,delta_hypertrophic_minus_mesenchymal,concordant,abs_delta,rank_abs_delta
CTHRC1,ENSG00000164932,1,1.871456503868103,True,1.871456503868103,1
GADD45B,ENSG00000099860,1,1.348456859588623,True,1.348456859588623,2
KLF5,ENSG00000102554,1,0.955358386039734,True,0.955358386039734,3
PIK3R1,ENSG00000145675,1,0.9322898387908936,True,0.9322898387908936,4
NFIA,ENSG00000162599,1,-0.8452555537223816,False,0.8452555537223816,5
TMSB15A,ENSG00000158164,-1,-0.7393658757209778,True,0.7393658757209778,6
CFH,ENSG00000000971,1,0.612030029296875,True,0.612030029296875,7
TSC22D3,ENSG00000157514,1,0.5937447547912598,True,0.5937447547912598,8
SOX5,ENSG00000134532,1,-0.5249586701393127,False,0.5249586701393127,9
GAS1,ENSG00000180447,1,-0.4918201267719269,False,0.4918201267719269,10
PDE4DIP,ENSG00000178104,1,0.439305305480957,True,0.439305305480957,11
PALLD,ENSG00000129116,1,-0.4031651616096496,False,0.4031651616096496,12
SLC38A4,ENSG00000139209,1,0.4006767868995666,True,0.4006767868995666,13
NFKBIA,ENSG00000100906,1,0.3827528953552246,True,0.3827528953552246,14
FOXO3,ENSG00000118689,1,0.375400185585022,True,0.375400185585022,15
RGCC,ENSG00000102760,1,0.3545217216014862,True,0.3545217216014862,16
IL1R1,ENSG00000115594,1,0.353220671415329,True,0.353220671415329,17
RERG,ENSG00000134533,1,0.3493980467319488,True,0.3493980467319488,18
LTBR,ENSG00000111321,1,0.3487634062767029,True,0.3487634062767029,19
NRCAM,ENSG00000091129,1,0.3079037666320801,True,0.3079037666320801,20
TMEM204,ENSG00000131634,1,0.2688402533531189,True,0.2688402533531189,21
TEX264,ENSG00000164081,1,0.2603960037231445,True,0.2603960037231445,22
PEG10,ENSG00000242265,-1,-0.2546460032463074,True,0.2546460032463074,23
TCEAL4,ENSG00000133142,1,0.2407028675079345,True,0.2407028675079345,24
NEBL,ENSG00000078114,1,0.2342375218868255,True,0.2342375218868255,25
CCND3,ENSG00000112576,1,0.2308126389980316,True,0.2308126389980316,26
MXI1,ENSG00000119950,1,0.2276018410921096,True,0.2276018410921096,27
ZBTB16,ENSG00000109906,1,0.2200978547334671,True,0.2200978547334671,28
C1QTNF1,ENSG00000173918,1,0.2192026078701019,True,0.2192026078701019,29
HIF3A,ENSG00000124440,1,-0.2180688083171844,False,0.2180688083171844,30
SMARCA2,ENSG00000080503,1,-0.2067405581474304,False,0.2067405581474304,31
BCL6,ENSG00000113916,1,0.1981225609779358,True,0.1981225609779358,32
PLEKHA1,ENSG00000107679,1,-0.1873203366994857,False,0.1873203366994857,33
CST3,ENSG00000101439,1,0.1820941567420959,True,0.1820941567420959,34
RBMS1,ENSG00000153250,1,0.1817859411239624,True,0.1817859411239624,35
TM4SF1,ENSG00000169908,-1,0.1807436347007751,False,0.1807436347007751,36
ROR2,ENSG00000169071,1,-0.1494993865489959,False,0.1494993865489959,37
CERS6,ENSG00000172292,1,-0.1421260237693786,False,0.1421260237693786,38
