accession,pmid,status,geo_title,retrieval_date,first_author,year,journal,volume,pages,doi,title,evidence
GSE102732,30385632.0,ok,RNA sequencing (RNA-SEQ) of WT and LFS patient specific iPSC derived pre-osteoblasts,2026-08-24,Kim H,2018.0,Proc Natl Acad Sci U S A,115.0,E11128-E11137,10.1073/pnas.1814044115,Oncogenic role of SFRP2 in p53-mutant osteosarcoma development via autocrine and paracrine mechanism.,
GSE129031,32058623.0,ok,Characterisation of epigenomic changes during chondrogenesis,2026-08-24,Cheung K,2020.0,FASEB J,34.0,5317-5331,10.1096/fj.201902061RR,Histone ChIP-Seq identifies differential enhancer usage during chondrogenesis as critical for defining cell-type specificity.,
GSE129266,31980739.0,ok,Characterisation of DNA methylation during mesenchymal stem cell chondrogenesis,2026-08-24,Barter MJ,2020.0,Sci Rep,10.0,1169,10.1038/s41598-020-58093-5,DNA hypomethylation during MSC chondrogenesis occurs predominantly at enhancer regions.,
GSE137035,,"ok (hand-checked, not linked in GEO)",,,Reichenbach M,2021.0,Adv Biol (Weinh),5.0,2000051.0,10.1002/adbi.202000051,Differential impact of fluid shear stress and YAP/TAZ on BMP/TGF-beta induced osteogenic target genes,"citation printed on the GEO record, retrieved 2026-08-24"
GSE145235,,"unpublished, cite by accession",,,,,,,,,Time series of retinoblastoma patient-derived mesenchymal stem cells differentiated to the osteogenic lineage,"GEO record states 'Citation missing', checked 2026-08-24"
GSE151311,35906483.0,ok,3D chromatin organization changes modulate adipogenesis and osteogenesis [ATAC-seq],2026-08-24,Hao RH,2022.0,Cell Death Differ,29.0,2503-2518,10.1038/s41418-022-01035-7,Lineage-specific rearrangement of chromatin loops and epigenomic features during adipocytes and osteoblasts commitment.,
GSE151315,35906483.0,ok,3D chromatin organization changes modulate adipogenesis and osteogenesis [ChIP-seq],2026-08-24,Hao RH,2022.0,Cell Death Differ,29.0,2503-2518,10.1038/s41418-022-01035-7,Lineage-specific rearrangement of chromatin loops and epigenomic features during adipocytes and osteoblasts commitment.,
GSE160207,33228694.0,ok,RNA Sequencing Analysis of a Whole Blood Transcriptome in Estonian Families with Osteogenesis Imperfecta,2026-08-24,Zhytnik L,2020.0,BMC Med Genomics,13.0,177,10.1186/s12920-020-00825-7,RNA sequencing analysis reveals increased expression of interferon signaling genes and dysregulation of bone metabolism affecting pathways in the whole blood of patients with osteogenesis imperfecta.,
GSE184087,35546168.0,ok,Expression profiling of MIR181A1HG interference in hMSC-hTERT20 cells,2026-08-24,Tye CE,2022.0,Sci Rep,12.0,7770,10.1038/s41598-022-11814-4,LncMIR181A1HG is a novel chromatin-bound epigenetic suppressor of early stage osteogenic lineage commitment.,
GSE184087,37985890.0,ok,Expression profiling of MIR181A1HG interference in hMSC-hTERT20 cells,2026-08-24,Gordon JAR,2023.0,Sci Rep,13.0,20314,10.1038/s41598-023-46202-z,LINC01638 sustains human mesenchymal stem cell self-renewal and competency for osteogenic cell fate.,
GSE186141,35154279.0,ok,Phenotypic spectrum and molecular basis in a Chinese cohort of osteogenesis imperfecta with mutations in type I collagen,2026-08-24,Chen P,2022.0,Front Genet,13.0,816078,10.3389/fgene.2022.816078,Phenotypic Spectrum and Molecular Basis in a Chinese Cohort of Osteogenesis Imperfecta With Mutations in Type I Collagen.,
GSE190542,36156210.0,ok,Germline ERCC6L2 mutations lead to impaired erythropoiesis and reshaping of the bone marrow niche,2026-08-24,Armes H,2022.0,Br J Haematol,199.0,754-764,10.1111/bjh.18466,Germline ERCC excision repair 6 like 2 (ERCC6L2) mutations lead to impaired erythropoiesis and reshaping of the bone marrow microenvironment.,
GSE205432,36153321.0,ok,RNF4-RGMb axis  is required for osteogenic differentiation and cancer cell survival,2026-08-24,Novak R,2022.0,Cell Death Dis,13.0,820,10.1038/s41419-022-05262-1,RNF4~RGMb~BMP6 axis required for osteogenic differentiation and cancer cell survival.,
GSE218101,36561048.0,ok,Isogenic pairs of MPS VI gene corrected iPSC and Chondrogenic cells,2026-08-24,Broeders M,2022.0,Front Bioeng Biotechnol,10.0,949063,10.3389/fbioe.2022.949063,Modeling cartilage pathology in mucopolysaccharidosis VI using iPSCs reveals early dysregulation of chondrogenic and metabolic gene expression.,
GSE221128,38365425.0,ok,Oxidative phosphorylation is a pivotal therapeutic target of fibrodysplasia ossificans progressiva,2026-08-24,Sun L,2024.0,Life Sci Alliance,7.0,e202302219,10.26508/lsa.202302219,Oxidative phosphorylation is a pivotal therapeutic target of fibrodysplasia ossificans progressiva.,
GSE226565,37182560.0,ok,Molecular profiling of osteoprogenitor cells reveals FOS as a master regulator of bone non-union [timecourse],2026-08-24,La Manna F,2023.0,Gene,874.0,147481,10.1016/j.gene.2023.147481,Molecular profiling of osteoprogenitor cells reveals FOS as a master regulator of bone non-union.,
GSE227512,37985890.0,ok,Expression profiling of LINC01638 interference in hMSC-hTERT20 cells,2026-08-24,Gordon JAR,2023.0,Sci Rep,13.0,20314,10.1038/s41598-023-46202-z,LINC01638 sustains human mesenchymal stem cell self-renewal and competency for osteogenic cell fate.,
GSE228522,37047804.0,ok,Transcriptomic differences underlying the Activin-A induced large osteoclast formation in both healthy control and Fibrodysplasia Ossificans Progressiva osteoclasts,2026-08-24,Schoenmaker T,2023.0,Int J Mol Sci,24.0,6822,10.3390/ijms24076822,Transcriptomic Differences Underlying the Activin-A Induced Large Osteoclast Formation in Both Healthy Control and Fibrodysplasia Ossificans Progressiva Osteoclasts.,
GSE22855,21235737.0,ok,Comparison of enchondromas with controls (growth plate and cartilage),2026-08-24,Pansuriya TC,2011.0,Orphanet J Rare Dis,6.0,2,10.1186/1750-1172-6-2,Genome-wide analysis of Ollier disease: Is it all in the genes?,
GSE245585,39342657.0,ok,Time series analysis of retinoblastoma  patient derived mesenchymal stem cells differentiated to osteogenic lineage,2026-08-24,Vincent A,2024.0,Differentiation,140.0,100815,10.1016/j.diff.2024.100815,Monoallelic loss of RB1 enhances osteogenic differentiation and delays DNA repair without inducing tumorigenicity.,
GSE247491,39097037.0,ok,RNA-seq of chondrogenesis following siRNA depletion of SERPINA3,2026-08-24,Barter MJ,2024.0,Matrix Biol,133.0,33-42,10.1016/j.matbio.2024.07.004,SERPINA3 is a marker of cartilage differentiation and is essential for the expression of extracellular matrix genes during early chondrogenesis.,
GSE247528,39097037.0,ok,RNA-seq of osteogenesis following siRNA depletion of SERPINA3,2026-08-24,Barter MJ,2024.0,Matrix Biol,133.0,33-42,10.1016/j.matbio.2024.07.004,SERPINA3 is a marker of cartilage differentiation and is essential for the expression of extracellular matrix genes during early chondrogenesis.,
GSE251698,39367925.0,ok,MUTATIONS IN FIBRONECTIN IMPAIR CHONDROGENESIS IN CORNER FRACTURE TYPE SPONDYLOMETAPHYSEAL DYSPLASIA,2026-08-24,Dinesh NEH,2024.0,Cell Mol Life Sci,81.0,419,10.1007/s00018-024-05444-4,Mutations in fibronectin dysregulate chondrogenesis in skeletal dysplasia.,
GSE288028,,"ok (hand-checked, not linked in GEO)",,,Chu TLN,2026.0,Sci Transl Med,18,eadw3590,10.1126/scitranslmed.adw3590,A transcriptional atlas of the pubertal human growth plate reveals two populations of stem cells and direct effect of growth hormone,"journal record, retrieved 2026-08-24"
GSE292600,40481143.0,ok,Dysregulation of cell migration by matrix metalloproteinases in geleophysic dysplasia,2026-08-24,Morales AA,2025.0,Sci Rep,15.0,19970,10.1038/s41598-025-04666-1,Dysregulation of cell migration by matrix metalloproteinases in geleophysic dysplasia.,
GSE332758,,"unpublished, cite by accession",,,,,,,,,Alterations in chromatin accessibility during osteoblast and adipocyte differentiation in human mesenchymal stem cells,"GEO record states 'Citation missing', checked 2026-08-24"
GSE33896,23031258.0,ok,Genome-wide CpG methylation during osteogenic and myogenic differentiation from adipose- derived stem cells.,2026-08-24,Berdasco M,2012.0,Am J Pathol,181.0,2079-93,10.1016/j.ajpath.2012.08.016,DNA methylation plasticity of human adipose-derived stem cells in lineage commitment.,
GSE33896,34440035.0,ok,Genome-wide CpG methylation during osteogenic and myogenic differentiation from adipose- derived stem cells.,2026-08-24,Hernández R,2021.0,Biology (Basel),10.0,802,10.3390/biology10080802,Impact of the Epigenetically Regulated Hoxa-5 Gene in Neural Differentiation from Human Adipose-Derived Stem Cells.,
GSE58435,24850140.0,ok,Amniotic fluid RNA gene expression profiling provides insights into the phenotype of Turner syndrome,2026-08-24,Massingham LJ,2014.0,Hum Genet,133.0,1075-82,10.1007/s00439-014-1448-y,Amniotic fluid RNA gene expression profiling provides insights into the phenotype of Turner syndrome.,
GSE77758,27518164.0,ok,Microarray and miRNA expression data from five Ehlers-Danlos Syndrome Hypermobility type/Joint Hypermobility Syndrome (EDS-HT/JHS) patients' skin fibroblasts,2026-08-24,Chiarelli N,2016.0,PLoS One,11.0,e0161347,10.1371/journal.pone.0161347,Transcriptome-Wide Expression Profiling in Skin Fibroblasts of Patients with Joint Hypermobility Syndrome/Ehlers-Danlos Syndrome Hypermobility Type.,
