dataset_id,dataset,accession,gene,arm,class,null_intact,genes_pooled
1,"LAMA5-KO, chondrogenic (E-MTAB-16566)",E-MTAB-16566,LAMA5,chondrogenic,M,True,9861
2,"LAMA5-KO, osteogenic (E-MTAB-16566)",E-MTAB-16566,LAMA5,osteogenic,M,True,9063
3,FN1 C123R (GSE251698),GSE251698,FN1,chondrogenic,M,False,11461
4,FN1 C231W (GSE251698),GSE251698,FN1,chondrogenic,M,False,11815
5,"SERPINA3-KD, chondrogenic (GSE247491)",GSE247491,SERPINA3,chondrogenic,N,True,1347
6,MIR181A1HG-KD (GSE184087),GSE184087,MIR181A1HG,osteogenic,N,True,12039
7,LINC01638-KD (GSE227512),GSE227512,LINC01638,osteogenic,N,True,3941
8,ARSB / MPS VI (GSE218101),GSE218101,ARSB,chondrogenic,M,True,7505
9,ACVR1 / FOP (GSE221128),GSE221128,ACVR1,chondrogenic,M,True,9132
10,RNF4-KD (GSE205432),GSE205432,RNF4,osteogenic,N,False,8306
11,RB1 +/- (GSE245585),GSE245585,RB1,osteogenic,N,False,8369
12,Nonunion (GSE226565),GSE226565,NONUNION,osteogenic,N,False,2251
13,"SERPINA3-KD, osteogenic (GSE247528)",GSE247528,SERPINA3,osteogenic,N,True,1033
14,ERCC6L2-KD (GSE190542),GSE190542,ERCC6L2,osteogenic,N,True,6502
15,TP53 LFS (GSE102732),GSE102732,TP53,osteogenic,M,True,6219
16,YAP/TAZ-KD (GSE137035),GSE137035,YAPTAZ,osteogenic,N,False,2712
17,RB1-mut isogenic (GSE145235),GSE145235,RB1,osteogenic,N,False,5720
18,RB1-del isogenic (GSE145235),GSE145235,RB1,osteogenic,N,False,5974
