block,dataset,concordance,concordance_null,concordance_null_sd,concordance_z,concordance_p,concordance_detection_limit,above_detection_limit,window,axis,null_model,level,gene_set,run,statistic_z,detection_limit,p_value,panel,class,side,compared_to
module per dataset,"LAMA5-KO, chondrogenic (E-MTAB-16566)",0.9386503067484664,0.505239263803681,0.039383646097353,11.004848100488973,0.0006664445184938,0.6155134728762695,True,,,,,,,,,,,,,
module per dataset,"LAMA5-KO, osteogenic (E-MTAB-16566)",0.950920245398773,0.4992229038854806,0.0396225271010317,11.400013440877425,0.0006664445184938,0.6101659797683696,True,,,,,,,,,,,,,
module per dataset,FN1 C123R (GSE251698),1.0,0.5207687861271676,0.0374444269899213,12.798465683606894,0.0006664445184938,0.6256131816989474,True,,,,,,,,,,,,,
module per dataset,FN1 C231W (GSE251698),1.0,0.5207687861271676,0.0374444269899213,12.798465683606894,0.0006664445184938,0.6256131816989474,True,,,,,,,,,,,,,
module per dataset,"SERPINA3-KD, chondrogenic (GSE247491)",1.0,0.518632183908046,0.0916514794352007,5.252155437733982,0.0006664445184938,0.7752563263266081,True,,,,,,,,,,,,,
module per dataset,MIR181A1HG-KD (GSE184087),0.9705882352941176,0.5098882352941176,0.037892461922661,12.158090992881238,0.0006664445184938,0.6159871286775684,True,,,,,,,,,,,,,
module per dataset,LINC01638-KD (GSE227512),0.9777777777777776,0.4923851851851852,0.0427613346605063,11.351203054026596,0.0006664445184938,0.6121169222346029,True,,,,,,,,,,,,,
module per dataset,ARSB / MPS VI (GSE218101),0.8047337278106509,0.4944615384615384,0.0383764458882685,8.084964153597172,0.0006664445184938,0.6019155869486902,True,,,,,,,,,,,,,
module per dataset,ACVR1 / FOP (GSE221128),0.9161676646706588,0.5185548902195608,0.0388297450927101,10.239901742897224,0.0006664445184938,0.6272781764791493,True,,,,,,,,,,,,,
module per dataset,RNF4-KD (GSE205432),0.9248554913294798,0.4920539499036608,0.038296963658054,11.30119727741911,0.0006664445184938,0.5992854481462122,True,,,,,,,,,,,,,
module per dataset,RB1 +/- (GSE245585),0.8855421686746988,0.5821566265060241,0.0373246545010126,8.128288023682671,0.0006664445184938,0.6866656591088596,True,,,,,,,,,,,,,
module per dataset,Nonunion (GSE226565),0.9349112426035504,0.4447593688362919,0.0374227777780025,13.097688169352676,0.0006664445184938,0.549543146614699,True,,,,,,,,,,,,,
module per dataset,"SERPINA3-KD, osteogenic (GSE247528)",1.0,0.5006236559139785,0.0911879999970629,5.476338378976463,0.0006664445184938,0.7559500559057548,True,,,,,,,,,,,,,
module per dataset,ERCC6L2-KD (GSE190542),0.9707602339181286,0.4986627680311891,0.0376347407154974,12.544193394496698,0.0006664445184938,0.6040400420345821,True,,,,,,,,,,,,,
module per dataset,TP53 LFS (GSE102732),0.9364161849710982,0.5180539499036608,0.0371164883764701,11.271600665020266,0.0006664445184938,0.6219801173577771,True,,,,,,,,,,,,,
module per dataset,YAP/TAZ-KD (GSE137035),0.7323943661971831,0.5019600938967136,0.0417294780620356,5.522098118694484,0.0006664445184938,0.6188026324704132,True,,,,,,,,,,,,,
module per dataset,RB1-mut isogenic (GSE145235),0.9710982658959536,0.4911946050096339,0.0385589811263814,12.44596321965514,0.0006664445184938,0.5991597521635019,True,,,,,,,,,,,,,
module per dataset,RB1-del isogenic (GSE145235),0.9766081871345028,0.5089551656920077,0.0380286875274434,12.29737474124009,0.0006664445184938,0.6154354907688494,True,,,,,,,,,,,,,
ATAC module test,GSE332758,0.686046511627907,0.538161046511628,0.0375689964222493,3.936369858117827,9.99950002499875e-05,0.6433542364939263,True,P,osteogenic,background,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.686046511627907,0.5302191860465116,0.0375547198160757,4.149340651309871,9.99950002499875e-05,0.6353724015315236,True,P,osteogenic,H1 baseline-stratified,ATAC,,,,,,,,,
ATAC module test,GSE332758,0.6802325581395349,0.5939334302325581,0.0350574453585982,2.4616490740906447,0.0177991100444977,0.6920942772366332,False,P,adipogenic,background,ATAC,,,,,,,,,
