n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,punkt,datensatz,arm,satz_a,n_gene_messbar,bestanden
5,33,1.9443772779561892,-0.0009124502947402078,0.7353936195598615,2.645236070194897,0.006499675016249188,2.0581896844728718,ok,1,LAMA5-KO (chondr),chondrogen,CHONDROGEN,11529,True
11,27,0.08300248396760174,-0.003056033517074877,0.5257254317916121,0.16369479633389436,0.8700564971751412,1.4689751754994391,ok,2,LAMA5-KO (osteo),osteogen,OSTEOGEN,11529,False
5,34,0.15081114825171366,0.0013142673183532414,0.6087534618493939,0.245578695321401,0.8151592420378981,1.7058239604966563,ok,3,FN1 FNC123R,chondrogen,CHONDROGEN,11579,False
5,34,0.08303612585643999,0.0006411915924302733,0.6689813982087973,0.1231647613590195,0.9141542922853857,1.8737891065770627,ok,4,FN1 FNC231W,chondrogen,CHONDROGEN,11579,False
1,5,,,,,,,zu wenige Gene,5,SERPINA3-KD,chondrogen,CHONDROGEN,2275,False
12,27,-0.04606716521562079,0.004507149152470752,0.44189647403443133,-0.11444833199585779,1.0,1.2418172764488784,ok,6,MIR181A1HG-KD,osteogen,OSTEOGEN,11555,False
11,21,0.03679717428155818,-0.0010735942191253194,0.40247681255486717,0.09409428647649314,0.9239538023098846,1.1258614809345027,ok,7,LINC01638-KD (GSE227512),osteogen,OSTEOGEN,10169,False
5,34,0.05398672923045433,-0.007538253842622168,0.724154391734619,0.08496114057349191,0.9340532973351332,2.020094043014311,ok,8,ARSB / MPS VI (GSE218101),chondrogen,CHONDROGEN,11519,False
5,34,0.9558018132606231,0.0029543223688329014,0.4867094339110106,1.957733761671872,0.050597470126493675,1.3657407373196626,ok,9,ACVR1 / FOP (GSE221128),chondrogen,CHONDROGEN,11554,False
12,27,-0.22789667536347483,0.0034633336301508975,0.25659839432951237,-0.9016424658391408,1.0,0.7219388377527856,ok,10,RNF4-KD (GSE205432),osteogen,OSTEOGEN,11578,False
11,27,-0.6015632477189131,-0.006335621036361053,0.4548801735047562,-1.3085371958431342,1.0,1.2673288647769563,ok,11,RB1 +/- (GSE245585),osteogen,OSTEOGEN,11125,False
12,27,0.15970372931026655,0.0008242494165734741,0.21593288296029184,0.7357817749458272,0.46107694615269235,0.6054363217053905,ok,12,Nonunion (GSE226565),osteogen,OSTEOGEN,11509,False
1,5,,,,,,,zu wenige Gene,13,SERPINA3-KD osteo (GSE247528),osteogen,OSTEOGEN,2284,False
12,27,0.9271248769035383,-0.0025867401929572237,0.3808162441644896,2.441365438956738,0.015999200039998,1.0636987434676137,ok,14,ERCC6L2-KD (GSE190542),osteogen,OSTEOGEN,11477,True
12,27,0.6495261259760128,-0.0023334531520836756,0.34013305767267854,1.9164840477087728,0.05469726513674316,0.9500391083314161,ok,15,TP53 LFS (GSE102732),osteogen,OSTEOGEN,11572,False
11,25,0.0431409653629074,0.0006665146677833013,0.23766732429869403,0.178713884293759,0.8582570871456427,0.6661350227041266,ok,16,YAP/TAZ-KD (GSE137035),osteogen,OSTEOGEN,11183,False
11,27,1.2020716332353034,0.0008674818538976481,0.4334734541184285,2.771113524873952,0.0058997050147492625,1.2145931533854974,ok,17,RB1-mut isogen (GSE145235),osteogen,OSTEOGEN,11573,True
12,27,0.8086951374385487,0.002571515976923395,0.45083338141213203,1.7880743855670762,0.07209639518024098,1.2649049839308928,ok,18,RB1-del isogen (GSE145235),osteogen,OSTEOGEN,11578,False
