punkt,datensatz,arm,variante,n_hintergrund,n_marker_a,n_marker_b,kontrast,null_sd,z,p,status,bestanden
1,LAMA5-KO (chondr),chondrogen,A_marker_gef_hg_gef,11529,5,33,1.9443772779561892,0.7353936195598615,2.645236070194897,0.006499675016249188,ok,True
1,LAMA5-KO (chondr),chondrogen,B_marker_voll_hg_gef,11536,6,39,1.7646642266776593,0.6776830430425453,2.619710096436723,0.008199590020498975,ok,True
1,LAMA5-KO (chondr),chondrogen,C_marker_gef_hg_voll,22897,5,33,1.9443772779561892,0.7301418542716716,2.665854596821813,0.00519974001299935,ok,True
1,LAMA5-KO (chondr),chondrogen,D_marker_voll_hg_voll,22897,6,39,1.7646642266776593,0.6621946910918726,2.6744495585799535,0.0050997450127493625,ok,True
2,LAMA5-KO (osteo),osteogen,A_marker_gef_hg_gef,11529,11,27,0.08300248396760174,0.5257254317916121,0.16369479633389436,0.8700564971751412,ok,False
2,LAMA5-KO (osteo),osteogen,B_marker_voll_hg_gef,11536,12,33,-0.09970983672389294,0.4946963824258315,-0.1943142722615437,1.0,ok,False
2,LAMA5-KO (osteo),osteogen,C_marker_gef_hg_voll,22897,11,27,0.08300248396760174,0.5042687619608347,0.17346223430551805,0.8588570571471427,ok,False
2,LAMA5-KO (osteo),osteogen,D_marker_voll_hg_voll,22897,12,33,-0.09970983672389294,0.4760209374478036,-0.2064745913203871,1.0,ok,False
3,FN1 FNC123R,chondrogen,A_marker_gef_hg_gef,11579,5,34,0.15081114825171366,0.6087534618493939,0.245578695321401,0.8151592420378981,ok,False
3,FN1 FNC123R,chondrogen,B_marker_voll_hg_gef,11601,12,49,0.27548242503722264,0.40881910188522297,0.6786811779026256,0.4967751612419379,ok,False
3,FN1 FNC123R,chondrogen,C_marker_gef_hg_voll,27598,5,34,0.15081114825171366,0.5798474238729184,0.2559438765210294,0.8088595570221488,ok,False
3,FN1 FNC123R,chondrogen,D_marker_voll_hg_voll,27598,12,49,0.27548242503722264,0.3914839773482725,0.7110591257456714,0.48027598620068995,ok,False
4,FN1 FNC231W,chondrogen,A_marker_gef_hg_gef,11579,5,34,0.08303612585643999,0.6689813982087973,0.1231647613590195,0.9141542922853857,ok,False
4,FN1 FNC231W,chondrogen,B_marker_voll_hg_gef,11601,12,49,0.17303954240162361,0.45088245747633615,0.3858631687259681,0.7009649517524124,ok,False
4,FN1 FNC231W,chondrogen,C_marker_gef_hg_voll,27598,5,34,0.08303612585643999,0.6199472842536659,0.12679294455784482,0.9167541622918854,ok,False
4,FN1 FNC231W,chondrogen,D_marker_voll_hg_voll,27598,12,49,0.17303954240162361,0.42001677582648134,0.4201054207211432,0.680265986700665,ok,False
5,SERPINA3-KD,chondrogen,A_marker_gef_hg_gef,2275,1,5,,,,,too few genes,False
5,SERPINA3-KD,chondrogen,B_marker_voll_hg_gef,2280,1,10,,,,,too few genes,False
5,SERPINA3-KD,chondrogen,C_marker_gef_hg_voll,3554,1,5,,,,,too few genes,False
5,SERPINA3-KD,chondrogen,D_marker_voll_hg_voll,3554,1,10,,,,,too few genes,False
6,MIR181A1HG-KD,osteogen,A_marker_gef_hg_gef,11555,12,27,-0.04606716521562079,0.44189647403443133,-0.11444833199585779,1.0,ok,False
6,MIR181A1HG-KD,osteogen,B_marker_voll_hg_gef,11580,16,48,-0.2136244875825531,0.3660641164374014,-0.5834494740153682,1.0,ok,False
6,MIR181A1HG-KD,osteogen,C_marker_gef_hg_voll,35536,12,27,-0.04606716521562079,0.36358655540284557,-0.12782061359794422,1.0,ok,False
6,MIR181A1HG-KD,osteogen,D_marker_voll_hg_voll,35536,16,48,-0.2136244875825531,0.3010898634131799,-0.6948337415253439,1.0,ok,False
