"kategorie","variante","quelle","bestandteile","k","n_modul","n_satz_gesamt","n_satz_im_hg","n_hintergrund","OR","lo","hi","p","p_bonferroni","ki_schliesst_1_aus"
"1_Matrixbestandteile","eng","GO via org.Hs.eg.db","GO:0005201",5,147,195,104,11581,4.03052120718456,1.26134630927041,9.94749149432929,0.010364768841626,0.0621886130497562,TRUE
"1_Matrixbestandteile","breit","MSigDB / Matrisom (Naba et al.)","NABA_COLLAGENS | NABA_ECM_GLYCOPROTEINS | NABA_PROTEOGLYCANS",6,147,304,148,11581,3.38320432779416,1.20080342299161,7.73274368329275,0.0114097758903754,0.0684586553422523,TRUE
"1_Matrixbestandteile","empfindlichkeit","MSigDB / Reactome","REACTOME_COLLAGEN_FORMATION | REACTOME_ECM_PROTEOGLYCANS",2,147,162,103,11581,1.5475947583369,0.183142506535594,5.83842993156703,0.376957218240546,NA,FALSE
"2_Matrixremodellierung","eng","GO via org.Hs.eg.db","GO:0022617",3,147,83,33,11581,7.91534963534877,1.52854544031851,25.8993563889561,0.00827374865916792,0.0496424919550075,TRUE
"2_Matrixremodellierung","breit","MSigDB / Matrisom (Naba et al.)","NABA_ECM_REGULATORS",5,147,265,115,11581,3.62437760196528,1.13653781736796,8.91299802850699,0.0154967466556238,0.092980479933743,TRUE
"2_Matrixremodellierung","empfindlichkeit","MSigDB / Reactome","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX | REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",4,147,359,221,11581,1.44582711883165,0.385162118248743,3.83726474753101,0.366297277434315,NA,FALSE
"3_Sekretionsmaschine","eng","GO via org.Hs.eg.db","GO:0016192 | GO:0006888",5,147,1766,1127,11581,0.323637584503417,0.103293102863161,0.775557737940725,0.00704186184070792,0.0422511710442475,TRUE
"3_Sekretionsmaschine","breit","GO via org.Hs.eg.db (unveraendert)","GO:0016192 | GO:0006888",5,147,1766,1127,11581,0.323637584503417,0.103293102863161,0.775557737940725,0.00704186184070792,0.0422511710442475,TRUE
"4_TGFb_BMP","eng","GO via org.Hs.eg.db","GO:0007179",2,147,265,165,11581,0.953758809740996,0.113452736703269,3.56372278960311,1,1,FALSE
"4_TGFb_BMP","breit","MSigDB / Reactome","REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS | REACTOME_SIGNALING_BY_BMP",1,147,163,145,11581,0.537026293973525,0.0134151696369442,3.08774342159323,1,1,FALSE
"5_Hypoxie_Stress","eng","GO via org.Hs.eg.db","GO:0036293",2,147,364,230,11581,0.677936725826925,0.0808329547171385,2.52201650177511,1,1,FALSE
"5_Hypoxie_Stress","breit","GO + MSigDB / Reactome","GO:0036293 | REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA | REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR",2,147,412,271,11581,0.572509941549896,0.0683241720033941,2.12615469066132,0.588431266284771,1,FALSE
"6_Zellzyklusausstieg","eng","GO via org.Hs.eg.db","GO:0008285 | GO:0090398",13,147,1032,515,11581,2.112401498141,1.08850745919498,3.77037780900466,0.0151068252606747,0.090640951564048,TRUE
"6_Zellzyklusausstieg","breit","GO + MSigDB / Reactome","GO:0008285 | GO:0090398 | REACTOME_CELLULAR_SENESCENCE",13,147,1199,599,11581,1.79581029076535,0.926244003595193,3.20155234152037,0.057241773997431,0.343450643984586,FALSE
