"kategorie","variante","ensembl","symbol"
"1_Matrixbestandteile","eng","ENSG00000011465","DCN"
"1_Matrixbestandteile","eng","ENSG00000140092","FBLN5"
"1_Matrixbestandteile","eng","ENSG00000143196","DPT"
"1_Matrixbestandteile","eng","ENSG00000143369","ECM1"
"1_Matrixbestandteile","eng","ENSG00000164932","CTHRC1"
"1_Matrixbestandteile","breit","ENSG00000011465","DCN"
"1_Matrixbestandteile","breit","ENSG00000127083","OMD"
"1_Matrixbestandteile","breit","ENSG00000140092","FBLN5"
"1_Matrixbestandteile","breit","ENSG00000143196","DPT"
"1_Matrixbestandteile","breit","ENSG00000143369","ECM1"
"1_Matrixbestandteile","breit","ENSG00000164932","CTHRC1"
"1_Matrixbestandteile","empfindlichkeit","ENSG00000011465","DCN"
"1_Matrixbestandteile","empfindlichkeit","ENSG00000137673","MMP7"
"2_Matrixremodellierung","eng","ENSG00000101439","CST3"
"2_Matrixremodellierung","eng","ENSG00000123342","MMP19"
"2_Matrixremodellierung","eng","ENSG00000137673","MMP7"
"2_Matrixremodellierung","breit","ENSG00000101439","CST3"
"2_Matrixremodellierung","breit","ENSG00000123342","MMP19"
"2_Matrixremodellierung","breit","ENSG00000137673","MMP7"
"2_Matrixremodellierung","breit","ENSG00000142303","ADAMTS10"
"2_Matrixremodellierung","breit","ENSG00000178031","ADAMTSL1"
"2_Matrixremodellierung","empfindlichkeit","ENSG00000011465","DCN"
"2_Matrixremodellierung","empfindlichkeit","ENSG00000123342","MMP19"
"2_Matrixremodellierung","empfindlichkeit","ENSG00000137673","MMP7"
"2_Matrixremodellierung","empfindlichkeit","ENSG00000140092","FBLN5"
"3_Sekretionsmaschine","eng","ENSG00000106688","SLC1A1"
"3_Sekretionsmaschine","eng","ENSG00000149043","SYT8"
"3_Sekretionsmaschine","eng","ENSG00000168067","MAP4K2"
"3_Sekretionsmaschine","eng","ENSG00000180447","GAS1"
"3_Sekretionsmaschine","eng","ENSG00000242265","PEG10"
"3_Sekretionsmaschine","breit","ENSG00000106688","SLC1A1"
"3_Sekretionsmaschine","breit","ENSG00000149043","SYT8"
"3_Sekretionsmaschine","breit","ENSG00000168067","MAP4K2"
"3_Sekretionsmaschine","breit","ENSG00000180447","GAS1"
"3_Sekretionsmaschine","breit","ENSG00000242265","PEG10"
"4_TGFb_BMP","eng","ENSG00000112679","DUSP22"
"4_TGFb_BMP","eng","ENSG00000242265","PEG10"
"4_TGFb_BMP","breit","ENSG00000138696","BMPR1B"
"5_Hypoxie_Stress","eng","ENSG00000106688","SLC1A1"
"5_Hypoxie_Stress","eng","ENSG00000118689","FOXO3"
"5_Hypoxie_Stress","breit","ENSG00000106688","SLC1A1"
"5_Hypoxie_Stress","breit","ENSG00000118689","FOXO3"
"6_Zellzyklusausstieg","eng","ENSG00000047644","WWC3"
"6_Zellzyklusausstieg","eng","ENSG00000080503","SMARCA2"
"6_Zellzyklusausstieg","eng","ENSG00000109819","PPARGC1A"
"6_Zellzyklusausstieg","eng","ENSG00000109906","ZBTB16"
"6_Zellzyklusausstieg","eng","ENSG00000113916","BCL6"
"6_Zellzyklusausstieg","eng","ENSG00000119138","KLF9"
"6_Zellzyklusausstieg","eng","ENSG00000134533","RERG"
"6_Zellzyklusausstieg","eng","ENSG00000138696","BMPR1B"
"6_Zellzyklusausstieg","eng","ENSG00000143196","DPT"
"6_Zellzyklusausstieg","eng","ENSG00000154144","TBRG1"
"6_Zellzyklusausstieg","eng","ENSG00000154928","EPHB1"
"6_Zellzyklusausstieg","eng","ENSG00000186767","SPIN4"
"6_Zellzyklusausstieg","eng","ENSG00000189058","APOD"
"6_Zellzyklusausstieg","breit","ENSG00000047644","WWC3"
"6_Zellzyklusausstieg","breit","ENSG00000080503","SMARCA2"
"6_Zellzyklusausstieg","breit","ENSG00000109819","PPARGC1A"
"6_Zellzyklusausstieg","breit","ENSG00000109906","ZBTB16"
"6_Zellzyklusausstieg","breit","ENSG00000113916","BCL6"
"6_Zellzyklusausstieg","breit","ENSG00000119138","KLF9"
"6_Zellzyklusausstieg","breit","ENSG00000134533","RERG"
"6_Zellzyklusausstieg","breit","ENSG00000138696","BMPR1B"
"6_Zellzyklusausstieg","breit","ENSG00000143196","DPT"
"6_Zellzyklusausstieg","breit","ENSG00000154144","TBRG1"
"6_Zellzyklusausstieg","breit","ENSG00000154928","EPHB1"
"6_Zellzyklusausstieg","breit","ENSG00000186767","SPIN4"
"6_Zellzyklusausstieg","breit","ENSG00000189058","APOD"
