cluster,n_zellen,RZ,RZ_gene_im_datensatz,PZ,PZ_gene_im_datensatz,PHZ,PHZ_gene_im_datensatz,HZ,HZ_gene_im_datensatz
0,1570,0.44509467482566833,3,-0.14113621413707733,2,-0.008271366357803345,2,0.697668194770813,4
1,799,0.09445438534021378,3,-0.1931191086769104,2,-0.5202128291130066,2,-0.39753180742263794,4
2,833,0.7421723008155823,3,-0.1765088587999344,2,-0.4682281017303467,2,-0.03182835876941681,4
3,1188,-0.210879847407341,3,-0.1934775561094284,2,-0.5305337309837341,2,-0.3273526728153229,4
4,1374,-0.2600414454936981,3,-0.21355003118515015,2,-0.5205791592597961,2,-0.263937383890152,4
5,942,-0.15051664412021637,3,-0.18066081404685974,2,-0.5273885726928711,2,-0.23971721529960632,4
6,356,-0.201025128364563,3,-0.1765262484550476,2,-0.5206239223480225,2,0.02660365402698517,4
7,1373,-0.040220167487859726,3,0.002899743616580963,2,0.14943155646324158,2,0.10451378673315048,4
8,1014,0.37888216972351074,3,-0.1681244969367981,2,-0.5311081409454346,2,-0.33068448305130005,4
9,506,-0.05593739449977875,3,-0.12411423027515411,2,-0.507247269153595,2,-0.31929323077201843,4
10,191,1.0227237939834595,3,-0.12120522558689117,2,-0.30450907349586487,2,-0.10555249452590942,4
11,1121,-0.1787041872739792,3,-0.17294517159461975,2,-0.5249056816101074,2,-0.3940945267677307,4
12,656,-0.1810102015733719,3,-0.1911260485649109,2,-0.4794190227985382,2,-0.05539105832576752,4
13,1329,-0.15992458164691925,3,-0.16155676543712616,2,-0.5171812176704407,2,-0.13270433247089386,4
14,160,0.3074215054512024,3,-0.06015753000974655,2,-0.34711408615112305,2,-0.11189110577106476,4
15,388,-0.05140428617596626,3,-0.12159465253353119,2,-0.448772132396698,2,-0.33538979291915894,4
16,421,-0.151060089468956,3,2.707144021987915,2,0.2314455509185791,2,0.0672711730003357,4
17,3528,-0.0704178586602211,3,0.08195243775844574,2,0.41002655029296875,2,0.1773272156715393,4
18,1662,-0.2062012404203415,3,0.3532577157020569,2,2.1279854774475098,2,0.8792369961738586,4
19,2313,-0.21258755028247833,3,0.3815990090370178,2,1.163801908493042,2,0.23906315863132477,4
20,758,1.2711949348449707,3,-0.1378527283668518,2,-0.0014014318585395813,2,0.14794716238975525,4
21,2943,-0.15223735570907593,3,-0.19068381190299988,2,-0.5327054262161255,2,-0.35591238737106323,4
22,1588,-0.16212449967861176,3,-0.14033174514770508,2,-0.5319238305091858,2,-0.21046410501003265,4
23,44,-0.19076943397521973,3,2.876549005508423,2,-0.51169753074646,2,-0.3314198851585388,4
24,506,0.5226112008094788,3,-0.023564277216792107,2,-0.024767950177192688,2,0.010145381093025208,4
25,34,1.9815000295639038,3,-0.06727294623851776,2,-0.28125497698783875,2,0.10409541428089142,4
