cluster,n_zellen,RZ,RZ_gene_im_datensatz,PZ,PZ_gene_im_datensatz,PHZ,PHZ_gene_im_datensatz,HZ,HZ_gene_im_datensatz
0,1420,0.26675641536712646,3,-0.17610731720924377,2,0.019239798188209534,2,0.290109783411026,4
1,876,0.7418842911720276,3,-0.17403024435043335,2,-0.4049173891544342,2,-0.2296714186668396,4
2,1750,0.039806824177503586,3,-0.22935166954994202,2,-0.384576678276062,2,0.2015264630317688,4
3,2502,-0.2977858781814575,3,-0.17980414628982544,2,-0.5217152237892151,2,-0.5974546074867249,4
4,6592,-0.2683227062225342,3,-0.19679099321365356,2,-0.5227059721946716,2,-0.5179370045661926,4
5,1193,-0.3144720792770386,3,-0.219245046377182,2,-0.5328001976013184,2,-0.5676457285881042,4
6,2933,-0.2777740955352783,3,-0.17486585676670074,2,-0.5243592262268066,2,-0.44410082697868347,4
7,420,-0.2769719064235687,3,-0.17755553126335144,2,-0.5113086104393005,2,-0.19646236300468445,4
8,2520,0.014617224223911762,3,0.0040435791015625,2,0.1427951455116272,2,-0.2028363198041916,4
9,1222,-0.06310971826314926,3,1.936924695968628,2,-0.032801322638988495,2,0.14662261307239532,4
10,1782,-0.2934659421443939,3,-0.2090473771095276,2,-0.5226562023162842,2,-0.5607967972755432,4
11,1560,0.056264158338308334,3,-0.20075158774852753,2,-0.2227831482887268,2,-0.044228143990039825,4
12,1923,-0.187799334526062,3,-0.1777973771095276,2,-0.4983711838722229,2,-0.4817919135093689,4
13,99,1.356955885887146,3,-0.2524116635322571,2,-0.5392416715621948,2,-0.6486248970031738,4
14,989,0.3431588113307953,3,-0.17270761728286743,2,-0.5173404216766357,2,-0.566559910774231,4
15,1041,-0.15816247463226318,3,-0.20117154717445374,2,-0.4583207964897156,2,-0.43955492973327637,4
16,1152,-0.07238638401031494,3,-0.1996309608221054,2,-0.5043526291847229,2,-0.614918053150177,4
17,1651,-0.1630219668149948,3,-0.1357889622449875,2,-0.37698355317115784,2,-0.24342034757137299,4
18,1920,-0.05095304548740387,3,-0.0363103523850441,2,0.12491095811128616,2,0.5740999579429626,4
19,6825,-0.0965912863612175,3,0.0594114288687706,2,0.4135466516017914,2,0.7274230122566223,4
20,7158,0.3871300518512726,3,-0.08095977455377579,2,-0.3177136480808258,2,-0.05915076658129692,4
21,3708,-0.19371671974658966,3,0.3595476746559143,2,1.4633846282958984,2,1.5585237741470337,4
22,93,-0.24792985618114471,3,-0.21582765877246857,2,-0.5348449945449829,2,-0.30648037791252136,4
23,338,-0.32381314039230347,3,1.5414949655532837,2,-0.5297357439994812,2,-0.5700365900993347,4
24,1761,0.1957916021347046,3,-0.18193034827709198,2,-0.47210872173309326,2,-0.21122291684150696,4
25,508,-0.31762054562568665,3,-0.23498596251010895,2,-0.5237992405891418,2,0.09585720300674438,4
26,2522,0.7700860500335693,3,-0.13463686406612396,2,-0.07642906159162521,2,0.509251058101654,4
27,2040,0.6147935390472412,3,-0.08359783887863159,2,-0.3291271924972534,2,-0.15697942674160004,4
28,468,0.38790008425712585,3,-0.18772132694721222,2,-0.4286222755908966,2,-0.06195148825645447,4
29,6722,-0.242881640791893,3,0.22258999943733215,2,1.0506573915481567,2,-0.13891054689884186,4
30,1005,0.7328801155090332,3,-0.14341837167739868,2,0.11384819447994232,2,-0.19125917553901672,4
31,437,-0.28667616844177246,3,0.2659069299697876,2,2.5782694816589355,2,0.7862684726715088,4
32,425,-0.23849697411060333,3,2.0914223194122314,2,0.413853257894516,2,-0.24408401548862457,4
