kohorte,fenster,achse,satz,n,mittel,z
GSE151311,P,differenz,OSTEO,18,-0.2725237154915009,-1.7982890068053898
GSE151311,P,differenz,ADIPO,18,-0.35839161740718434,-2.3525045388413512
GSE151311,P,differenz,NAIV,10,-0.14344299521428205,-0.8478665027671753
GSE151311,T10,differenz,OSTEO,18,-0.23419654539801954,-2.286880815050399
GSE151311,T10,differenz,ADIPO,18,-0.22241446532374104,-2.340732764088598
GSE151311,T10,differenz,NAIV,10,-0.15526820179654716,-1.144202246919544
GSE151311,T50,differenz,OSTEO,18,-0.13605168439181556,-1.387077499273885
GSE151311,T50,differenz,ADIPO,18,-0.18063376653160065,-2.267632651122323
GSE151311,T50,differenz,NAIV,10,-0.125798841984629,-0.9350695335572089
GSE151311,GB,differenz,OSTEO,18,-0.1315910697492887,-1.3938301240092965
GSE151311,GB,differenz,ADIPO,18,-0.12140690087868994,-1.3776331319022082
GSE151311,GB,differenz,NAIV,10,0.03920486940485543,0.01822746109262428
GSE151315,P,differenz,OSTEO,18,-0.24085670959857433,-0.8348788559596846
GSE151315,P,differenz,ADIPO,18,-0.055093012092521404,0.6599293940005587
GSE151315,P,differenz,NAIV,10,-0.04462129377245084,0.5499876915042675
GSE151315,T10,differenz,OSTEO,18,-0.16055645900600155,-0.6892535742640534
GSE151315,T10,differenz,ADIPO,18,0.023285463711481005,1.1825226378582345
GSE151315,T10,differenz,NAIV,10,-0.06819125053779368,0.20784389339680492
GSE151315,T50,differenz,OSTEO,18,-0.13494432706892762,-0.9867100768580075
GSE151315,T50,differenz,ADIPO,18,0.13587749647045566,2.292733534823955
GSE151315,T50,differenz,NAIV,10,-0.04377253971954693,0.09696133878042815
GSE151315,GB,differenz,OSTEO,18,-0.11250740952829913,-0.5619903826865418
GSE151315,GB,differenz,ADIPO,18,0.134861805810223,1.5292469651797582
GSE151315,GB,differenz,NAIV,10,-0.04904911102299551,-0.008480655093215638
GSE151315,P,osteogen,OSTEO,18,-0.23681290894313578,-1.299132870495262
GSE151315,P,osteogen,ADIPO,18,0.07520431160720546,1.6988041570655499
GSE151315,P,osteogen,NAIV,10,-0.44781771233168877,-2.41649478563087
GSE151315,P,adipogen,OSTEO,18,0.004043800655438579,-0.2714392757406362
GSE151315,P,adipogen,ADIPO,18,0.13029732369972694,0.7801353029629094
GSE151315,P,adipogen,NAIV,10,-0.40319641855923793,-2.771077152016463
GSE151315,T10,osteogen,OSTEO,18,-0.16842326638183208,-1.2418867765336232
GSE151315,T10,osteogen,ADIPO,18,0.08894500594500226,2.1481417807505188
GSE151315,T10,osteogen,NAIV,10,-0.36979769930449236,-2.7992563686942233
GSE151315,T10,adipogen,OSTEO,18,-0.007866807375830571,-0.2689823898133472
GSE151315,T10,adipogen,ADIPO,18,0.06565954223352122,0.4935179766317121
GSE151315,T10,adipogen,NAIV,10,-0.3016064487666987,-2.530490438950951
GSE151315,T50,osteogen,OSTEO,18,-0.13097242181055319,-1.1829541401293857
GSE151315,T50,osteogen,ADIPO,18,0.09712410566210349,2.514926528740265
GSE151315,T50,osteogen,NAIV,10,-0.21875388556726,-2.008140602257724
GSE151315,T50,adipogen,OSTEO,18,0.003971905258374397,0.13107160412035695
GSE151315,T50,adipogen,ADIPO,18,-0.03875339080835217,-0.5042751236738738
GSE151315,T50,adipogen,NAIV,10,-0.17498134584771305,-1.7985284036535183
GSE151315,GB,osteogen,OSTEO,18,-0.1575253950673972,-1.1588561536289947
GSE151315,GB,osteogen,ADIPO,18,0.1391916156108002,2.3377426882264656
GSE151315,GB,osteogen,NAIV,10,-0.22345442971193386,-1.456624907577933
GSE151315,GB,adipogen,OSTEO,18,-0.045017985539098054,-0.31611295554524205
GSE151315,GB,adipogen,ADIPO,18,0.0043298098005772655,0.15810265270949517
GSE151315,GB,adipogen,NAIV,10,-0.17440531868893835,-1.108409420779098
