ensembl,dWT_n,dWT_med,dWT_v,dWT_vz,dWT_kons,iv_n,iv_med,iv_v,iv_vz,iv_kons,basis_med,pool_anteil,symbol,im_modul,ri,laenge,expr_rank_med,n_gemessen,loeuf,pli,mis_z,dWT_abs
ENSG00000000003,16,0.464302702139612,10,1,0.25,16,0.1409648138804028,11,1,0.375,-0.162321931668207,0.5,TSPAN6,False,,4530,0.7730687272571466,16,0.985,0.066079,0.59223,0.464302702139612
ENSG00000000419,16,0.3906762999685325,10,1,0.25,16,-0.0710084738357157,9,-1,-0.125,-0.202610373788835,0.5,DPM1,False,,9276,0.770830247559909,16,0.873,0.00016237,0.37836,0.3906762999685325
ENSG00000000457,16,0.824963017809792,12,1,0.5,16,-0.5863003000378245,11,-1,-0.375,-0.784870384338732,0.5625,SCYL3,False,,6883,0.5030403051887284,16,0.421,0.28151,0.98492,0.824963017809792
ENSG00000000971,16,1.67641002218323,15,1,0.875,16,-0.1937183742198535,10,-1,-0.25,-1.137218140613045,0.8125,CFH,True,1.0,15284,0.928586965283679,16,0.324,0.86061,0.99735,1.67641002218323
ENSG00000001036,16,-0.4898569838692634,10,-1,-0.25,16,-0.0986922991712699,8,1,0.0,0.1860164512745959,0.1875,FUCA2,False,,2822,0.8994850350572134,16,0.902,4.3892e-07,0.82412,0.4898569838692634
ENSG00000001084,16,0.705452397849081,12,1,0.5,16,-0.0697985263298246,8,1,0.0,-0.567733477155013,0.5625,GCLC,False,,8618,0.7235179545962009,16,0.401,0.42718,2.5494,0.705452397849081
ENSG00000001167,16,-0.6627518244468305,10,-1,-0.25,16,-0.370487159640033,11,-1,-0.375,0.427459958405884,0.375,NFYA,False,,6209,0.731088773524857,16,0.509,0.14619,2.7803,0.6627518244468305
ENSG00000001460,16,0.1438529544244195,10,1,0.25,16,-0.7515141870534694,11,-1,-0.375,-0.104281889052534,0.4375,STPG1,False,,8511,0.49664067541211454,16,1.339,1.2043e-09,0.24957,0.1438529544244195
ENSG00000001461,16,-0.0690439783972671,9,-1,-0.125,16,0.1417120392839135,10,1,0.25,-0.0550457796846124,0.375,NIPAL3,False,,9396,0.8593452668954236,16,0.844,6.9573e-05,0.6751,0.0690439783972671
ENSG00000001497,16,-0.7586812593316945,11,-1,-0.375,16,-0.420420079044658,11,-1,-0.375,0.5228521612372125,0.125,LAS1L,False,,12555,0.734381418741122,16,0.179,0.99955,2.6661,0.7586812593316945
