sonde,symbol
cg00035864,TTTY18
cg00050873,FAM197Y2
cg00212031,TTTY14
cg00214611,TMSB4Y
cg00223952,PCDH11Y
cg00272582,ZFY
cg00311963,TTTY23
cg00311963,LOC100101121
cg00335297,RBMY2FP
cg00335297,RBMY1F
cg00676506,RPS4Y2
cg01053349,TGIF2LY
cg01311227,RPS4Y1
cg01375382,RPS4Y1
cg01426558,DDX3Y
cg01644972,EIF1AY
cg01707559,TBL1Y
cg01828798,TTTY19
cg01911472,TBL1Y
cg01943289,RPS4Y2
cg01988452,EIF1AY
cg02002345,TBL1Y
cg02004872,TMSB4Y
cg02011394,TSPY4
cg02012379,RPS4Y2
cg02050847,RPS4Y2
cg02056550,TTTY18
cg02105393,ZFY
cg02126249,TSPY4
cg02233183,NLGN4Y
cg02233190,EIF1AY
cg02407581,TTTY18
cg02432075,PCDH11Y
cg02494853,PCDH11Y
cg02577797,ZFY
cg02616328,ZFY
cg02730008,TMSB4Y
cg02802508,TSPY4
cg02802508,FAM197Y2
cg02839557,TBL1Y
cg02842889,ZFY
cg03052502,FAM197Y2
cg03055837,NLGN4Y
cg03430010,UTY
cg03443143,FAM197Y2
cg03515901,TGIF2LY
cg03535417,FAM197Y2
cg03601053,DDX3Y
cg03683899,ZFY
cg03706273,NLGN4Y
cg03827298,RBMY2FP
cg03827298,RBMY1F
cg03930849,TTTY4C
cg03930849,TTTY4
cg03930849,TTTY4B
cg04016144,TSPY4
cg04021548,NLGN4Y
cg04042030,TBL1Y
cg04169747,SRY
cg04170994,LOC401630
cg04170994,LOC401629
cg04419680,NLGN4Y
cg04448376,UTY
cg04691144,NLGN4Y
cg04840163,ZFY
cg05128824,DDX3Y
cg05163709,PRKY
cg05202434,TTTY19
cg05230942,CD24
cg05378695,TTTY8
cg05378695,TTTY8B
cg05530472,AMELY
cg05544622,TSPY1
cg05618150,PRKY
cg05621349,CYorf15A
cg05672930,CYorf15A
cg05725925,CYorf15A
cg05865243,TSPY2
cg05890011,TTTY15
cg06060201,LOC401630
cg06060201,LOC401629
cg06065495,BCORL2
cg06247034,NLGN4Y
cg06322277,RPS4Y2
cg06479204,UTY
cg06502680,CYorf15A
cg06558765,ZFY
cg06628792,TTTY14
cg06636270,TTTY20
cg06865724,TTTY5
cg07731488,CYorf15A
cg07747963,RPS4Y2
cg07795413,NLGN4Y
cg07851521,TSPY2
cg08045599,PRKY
cg08242338,TSPY2
cg08314875,DDX3Y
cg08357313,RBMY1A3P
cg08455548,PCDH11Y
cg08528516,DDX3Y
cg08635406,TSPY4
cg08635406,FAM197Y2
cg08673225,RPS4Y1
cg08816194,NLGN4Y
cg08921682,TBL1Y
cg09228985,BCORL2
cg09350919,TSPY3
cg09546548,PRKY
cg09595415,SRY
cg09703571,PCDH11Y
cg09728865,TBL1Y
cg09748856,NLGN4Y
cg09804407,NLGN4Y
cg09829904,ZFY
cg09856092,DDX3Y
cg10076560,CYorf15A
cg10172760,EIF1AY
cg10213302,ZFY
cg10267609,RBMY2FP
cg10267609,RBMY1F
cg10338539,SRY
cg10465579,PCDH11Y
cg10557773,ZFY
cg10620659,EIF1AY
cg10691859,NCRNA00185
cg10698069,DDX3Y
cg10799208,TTTY10
cg10841270,RPS4Y2
cg10990737,NLGN4Y
cg11021362,TTTY13
cg11131351,ZFY
cg11225091,EIF1AY
cg11684211,TTTY14
cg11816202,TTTY14
cg11898347,SRY
cg13252613,TTTY23
cg13252613,LOC100101121
cg13308744,EIF1AY
cg13419214,TTTY8
cg13419214,TTTY8B
cg13654344,SRY
cg13808036,RBMY2FP
cg13808036,RBMY1F
cg13861458,TSPY1
cg14005657,TSPY3
cg14157445,TTTY15
cg14170959,ZFY
cg14180491,DDX3Y
cg14467015,TTTY13
cg14492024,CYorf15A
cg14526044,ZFY
cg14741114,TTTY15
cg14972466,ZFY
cg15059553,EIF1AY
cg15197499,TBL1Y
cg15273954,TTTY15
cg15295597,PCDH11Y
cg15329860,KDM5D
cg15345074,TTTY14
cg15422579,EIF1AY
cg15429127,DDX3Y
cg15431336,PCDH11Y
cg15662272,KDM5D
cg15682806,TTTY23
cg15682806,LOC100101121
cg15682993,CYorf15A
cg15746461,TTTY15
cg15781156,TTTY16
cg15935877,TSPY1
cg16292375,LOC401630
cg16292375,LOC401629
cg16626452,TSPY4
cg16894943,LOC401630
cg16894943,LOC401629
cg17560699,UTY
cg17660627,CYorf15A
cg17741448,RPS4Y2
cg17769199,FAM197Y2
cg17834650,FAM197Y2
cg17972491,AMELY
cg18058072,ZFY
cg18077436,DDX3Y
cg18113731,NLGN4Y
cg19244032,NLGN4Y
cg20256738,TSPY2
cg20401549,PRKY
cg20474581,USP9Y
cg20864678,CYorf15A
cg22051787,RBMY1J
cg22051787,RBMY1F
cg22509014,TTTY20
cg24016855,TSPY4
cg24837623,ZFY
cg25012987,LOC401630
cg25012987,LOC401629
cg25032547,TTTY15
