gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE100215,Functional co-operativity of long-noncoding RNAs at the neuroblastoma susceptibility locus 6p22.3 controls disease progression via USP36-CHD7-SOX9 gene regulatory axis.,"We report 6p22 locus lncRNAs, which were identified as differentially expressed between high and non-high risk neuroblastoma  tumors using RNA sequencing. we identified CASC15-003 and CASC15-004 lncRNAs act as prognostic biomarker in neuroblastoma.",22,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE10024,Key Regulatory Molecules of Cartilage Destruction in Rheumatoid Arthritis: An in vitro Study,"We have studied the expression profile of 3D cultured human chondrocytes that were stimulated with supernatant of synovial fibroblasts derived from a RA patient (RASF=HSE cell line) and from a normal donor (NDSF=K4IM cell line), respectively. For this purpose, passage 2 human chondrocytes were cultured for 14 days in alginate beads and subsequently stimulated for 48 hours with supernatant of RASF and NDSF. Baseline expression was determined of unstimulated chondrocytes. Differential genome-wide microarray analysis of RASF and NDSF stimulated chondrocytes disclosed a distinct expression profile related to cartilage destruction  involving marker genes of inflammation (COX-2), NF-kappa B signaling pathway (TLR2), cytokines/chemokines and receptors (CXCL1-3, CCL20, CXCL8, CXCR4, IL-6, IL-1beta), matrix degradation (MMP-10, MMP-12) and suppressed matrix synthesis (COMP). Thus, transcriptome profiling of RASF and NDSF stimulated chondrocytes revealed a disturbed catabolic-anabolic homeostasis of chondrocyte function. This study provides a comprehensive insight into the molecular regulatory processes induced in human chondrocytes during RA-related cartilage destruction. Keywords: dose response",6,Expression profiling by array,Homo sapiens,,PSACH_MED
GSE100315,Evidence for the importance of post-transcriptional regulatory changes in ovarian cancer progression and the contribution of miRNAs,High-throughput technologies have identified significant changes in patterns of mRNA expression over cancer development but the functional significance of these changes often resets upon the assumption that observed changes in levels of mRNA accurately reflect changes in levels of their encoded proteins. We systematically compared the expression of genes on the RNA and protein levels between discrete tumor samples collected from the ovary and from the omentum of the same OC patient. The overall correlation between global changes in levels of mRNA and their encoding proteins is low. The majority of differences are on the protein level with no corresponding change on the mRNA level. Indirect and direct evidence indicates that a significant fraction of the differences may be mediated by microRNAs.,12,Expression profiling by array; Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE100466,Antiproliferative and Apoptotic Activities of Sequence-Specific Histone Acetyltransferase Inhibitors,"In parallel to monomeric epigenetic regulators, sequence-specific epigenetic regulators represent versatile synthetic dual-target ligands that achieve regulatory control over multi-gene networks. Development of DNA-binding domain (DBD)-HDAC inhibitors and DBD-HAT activators, which result in increased histone acetylation, has become one promising research field. However, there is no report regarding the gene regulatory pattern by sequence-specific epigenetic repressor. We report here for the first time, the synthesis of DBD-HAT inhibitors and demonstrate that these conjugates could retain their dual-target activity using predicted working model of thermal stability assay and in vitro HAT activity assay. Evaluation of antiproliferative activity in cancer cells showed that 2 (with a medium linker length of 13-atom) exhibited the highest antiproliferative activity in p53 wild-type cancer cell lines (IC50 of 1.8-2.6 uM in A549 and MV4-11 cells) and not in p53 mutant cancer cell lines. A mechanistic investigation using microarray analysis and an apoptotic assay showed that the antiproliferative effect of 2 occurred via the up-regulation of p53 target genes, and the subsequent initiation of p53-dependent apoptosis. Our research on sequence-specific dual-target epigenetic repressor offers us an alternative way to modulate HAT-governed therapeutically important genes and contributes to offer a fresh insight into antitumor therapeutics.",6,Expression profiling by array,Homo sapiens,,PSACH_MED
GSE101067,"Comparison of the specificities of the RGG/RG-domains of FMR1, FXR1 and FXR2 for small RNA","In previous studies, we identified a sequence motif (GDCGG) in almost all microRNAs downregulated in the serum of patients with amyotrophic lateral sclerosis. We found that FMR1, FXR1 and FXR2 directly and specifically interact with microRNAs containing the GDCGG motif via their RGG/RG-domains. Here, we compare the specificities for microRNAs of the RGG/RG-domains of FMR1, FXR1 and FXR2 on a transcriptome-wide scale using the Affymetrix GeneChip™ miRNA 3.0 Arrays.",12,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE101448,Microarray gene-expression data to identify a robust biomarker signature in PDAC and validate it in formalin-fixed paraffin-embedded tissue material.,"To identify a robust diagnostic biomarker for PDAC, we used FF samples in a meta-analysis with five other publicly available data sets. The identified biomarker genes were subsequently validated in the remaining samples to test the detection performance of FFPE samples.",43,Expression profiling by array,Homo sapiens,,MPS
GSE101462,Microarray gene-expression data to validate a 17-gene biomarker obtained from excessive meta-analysis to test its PDAC specificity in the presence of pancreatitis tissues.,"Clinical signs and radiographic findings of PDAC and pancreatitis are often indistinguishable, highlighting the need of a PDAC biomarker to be insensitive to pancreatitis. Therefore we validated a biomarker signature of 17-genes in this gene expression data containing PDAC, non-tumor pancreatic and pancreatitis of fresh-frozen and formalin-fixed paraffin-embedded tissues.",20,Expression profiling by array,Homo sapiens,,MPS
GSE101563,miRNA expression of Tubulocystic Renal Cell Carcinoma (TC-RCC) cases,"Eleven TC-RCC cases were selected on the basis of the criteria defined by the 2012 Vancouver Classification of Renal Neoplasia and WHO 2016 classification criteria, and re-reviewed by a panel of expert renal pathologists. Two of these cases, TC-RCC#9 and #10, had a mixed tubulocystic and papillary histology and were macro-dissected into separate PRCC and TC-RCC components. The molecular basis of TC-RCC, and miRNA expression profile, is unknown. We therefore used Affymetrix miRNA v.2. arrays to elucidate the expression of these samples",11,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE102127,Mucosal miRNA expression profiling in ileum of patients with Crohn's disease,"In this study, we investigated miRNA expression profiles in ileal mucosa from CD patients in different settings (post-operative recurrent (POR) CD, newly diagnosed CD and late stage CD)) and controls.",43,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE102134,Mucosal miRNA and gene expression profiling in ileum of patients with Crohn's disease,This SuperSeries is composed of the SubSeries listed below.,120,Expression profiling by array; Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
